graphFileName,y_train,y_train_pred
Mo2C_100_5_Ti_1_O_0_4_1123.graphml,-4.592,-4.6882772
Mo2C_100_2_Nb_3_O_0_18_21279.graphml,-4.303999999999999,-4.553535
Mo2C_010_3_Tc_0_O_0_0_18453.graphml,-3.855,-3.8184893
Mo2C_100_5_Zn_3_O_0_22_16687.graphml,-4.102,-4.2835045
Mo2C_100_0_Cu_0_O_0_10_11743.graphml,-3.0269999999999997,-3.128826
Mo2C_100_0_Fe_3_O_0_12_14356.graphml,-2.8489999999999998,-2.7280242
Mo2C_100_5_Ni_2_O_0_4_22096.graphml,-5.212000000000001,-4.486101
Mo2C_101_5_O_0_20_582.graphml,-3.0380000000000003,-3.1244187
Mo2C_101_9_Ta_1_O_0_7_21482.graphml,-4.833,-4.6941924
Mo2C_110_3_Mn_0_O_0_2_19899.graphml,-2.395,-2.390752
Mo2C_100_0_Rh_1_O_0_11_23098.graphml,-2.576,-2.858622
Mo2C_110_2_Os_0_O_0_8_8447.graphml,-3.609,-3.5129716
Mo2C_111_1_O_0_43_989.graphml,-4.976,-4.98606
Mo2C_011_2_O_0_11_744.graphml,-2.364,-2.1083379
Mo2C_001_2_Ta_0_O_0_7_5230.graphml,-5.365,-5.2313266
Mo2C_110_1_Au_0_O_0_7_3029.graphml,-3.878,-3.9041815
Mo2C_010_0_Cu_1_O_0_6_970.graphml,-3.8280000000000003,-3.6420145
Mo2C_100_2_Rh_2_O_0_16_25769.graphml,-4.659,-4.695449
Mo2C_100_0_Tc_3_O_0_1_14797.graphml,-3.153,-3.0810328
Mo2C_011_4_O_0_0_1545.graphml,-2.7430000000000003,-2.7498996
Mo2C_001_0_Nb_0_O_0_2_2993.graphml,-3.2310000000000003,-3.3026674
Mo2C_110_0_Au_1_O_0_9_11534.graphml,-4.457,-4.508284
Mo2C_001_5_Fe_0_O_0_1_8361.graphml,-3.68,-3.6411586
Mo2C_101_1_Au_0_O_0_3_25829.graphml,-4.386,-4.362761
Mo2C_100_2_Ru_3_O_0_5_1263.graphml,-5.188,-4.527625
Mo2C_101_2_V_1_O_0_8_15033.graphml,-3.1830000000000003,-3.2132235
Mo2C_100_0_Tc_2_O_0_4_20872.graphml,-3.123,-3.175135
Mo2C_001_4_Au_1_O_0_5_25280.graphml,-0.45799999999999996,-0.3170968
Mo2C_100_2_Au_0_O_0_21_19831.graphml,-3.813,-4.109123
Mo2C_100_0_Os_3_O_0_12_4050.graphml,-2.616,-2.5612268
Mo2C_001_1_Ta_1_O_0_5_17647.graphml,-5.197,-5.1013403
Mo2C_101_6_O_0_8_1460.graphml,-2.9010000000000002,-3.0094798
Mo2C_001_0_Zn_0_O_0_1_22528.graphml,-3.9019999999999997,-4.000652
Mo2C_101_8_Au_0_O_0_1_19836.graphml,-2.8089999999999997,-2.9277482
Mo2C_011_2_Co_0_O_0_1_17808.graphml,-3.867,-3.8176618
Mo2C_100_5_Ir_0_O_0_19_269.graphml,-4.532,-4.3406305
Mo2C_011_0_Cu_0_O_0_2_6551.graphml,-2.613,-2.638665
Mo2C_101_0_Re_0_O_0_0_11926.graphml,-4.4239999999999995,-4.3388815
Mo2C_100_2_Zn_0_O_0_8_15751.graphml,-4.207,-4.3081436
Mo2C_110_0_O_0_1_1602.graphml,-4.602,-4.355119
Mo2C_100_5_Ti_3_O_0_21_24554.graphml,-5.0089999999999995,-4.754211
Mo2C_100_1_O_0_8_1914.graphml,-2.9139999999999997,-2.8479452
Mo2C_100_2_Rh_0_O_0_22_14456.graphml,-4.385,-4.464287
Mo2C_100_0_Zn_3_O_0_21_22615.graphml,-2.137,-2.41982
Mo2C_101_0_W_1_O_0_6_25968.graphml,-3.1889999999999996,-3.1479423
Mo2C_001_1_W_0_O_0_3_8142.graphml,-4.99,-5.0907526
Mo2C_101_4_Re_0_O_0_9_22919.graphml,-3.468,-3.6078508
Mo2C_011_7_Re_0_O_0_0_21180.graphml,-4.378,-4.4494143
Mo2C_100_0_Pd_3_O_0_15_16937.graphml,-2.804,-2.7422354
Mo2C_101_0_Cd_1_O_0_3_11807.graphml,-0.672,-0.79123485
Mo2C_111_0_Rh_0_O_0_3_2289.graphml,-4.175,-4.31456
Mo2C_111_7_Pt_0_O_0_4_21007.graphml,-3.9619999999999997,-4.0248146
Mo2C_100_3_Pt_2_O_0_18_13295.graphml,-3.207,-3.1023977
Mo2C_011_11_Ir_0_O_0_2_22382.graphml,-3.7260000000000004,-3.6271393
Mo2C_100_0_Tc_0_O_0_3_14080.graphml,-3.398,-3.1829648
Mo2C_100_2_Rh_3_O_0_0_26201.graphml,-5.188,-4.9697876
Mo2C_111_2_Rh_0_O_0_2_16339.graphml,-2.915,-2.8993983
Mo2C_110_1_Nb_0_O_0_5_1861.graphml,-4.702,-4.9411187
Mo2C_001_5_Cu_0_O_0_1_5578.graphml,-3.576,-3.755918
Mo2C_011_1_Ir_0_O_0_2_24644.graphml,-3.877,-3.7418003
Mo2C_001_0_Rh_1_O_0_1_2494.graphml,-3.515,-3.3941474
Mo2C_011_10_W_0_O_0_2_15133.graphml,-4.91,-4.841591
Mo2C_110_1_Pt_1_O_0_1_23570.graphml,-3.475,-3.5104449
Mo2C_001_1_Au_1_O_0_8_14654.graphml,-2.88,-2.779301
Mo2C_101_7_Fe_0_O_0_10_8455.graphml,-3.3089999999999997,-3.1917238
Mo2C_100_1_Os_1_O_0_4_24399.graphml,-4.2860000000000005,-4.488707
Mo2C_100_2_Ru_3_O_0_12_3182.graphml,-4.431,-4.3276777
Mo2C_001_4_W_1_O_0_5_14593.graphml,-4.993,-5.233691
Mo2C_110_2_Re_0_O_0_10_25146.graphml,-3.596,-3.731116
Mo2C_110_4_Re_1_O_0_4_5624.graphml,-1.669,-1.7151119
Mo2C_111_4_Os_0_O_0_3_767.graphml,-2.91,-2.7187803
Mo2C_111_1_O_0_32_407.graphml,-4.155,-4.3635387
Mo2C_100_0_W_2_O_0_8_24082.graphml,-3.6510000000000002,-3.8815413
Mo2C_100_0_Au_0_O_0_10_7032.graphml,-3.5410000000000004,-3.6086743
Mo2C_101_2_O_0_4_674.graphml,-3.713,-3.486421
Mo2C_001_5_Ti_0_O_0_4_7547.graphml,-4.956,-5.3277493
Mo2C_110_0_Pd_1_O_0_11_15028.graphml,-4.02,-4.0706525
Mo2C_010_3_Rh_1_O_0_7_1376.graphml,-3.197,-3.3088977
Mo2C_001_4_Os_0_O_0_0_5728.graphml,-3.062,-3.1138434
Mo2C_010_2_Ir_1_O_0_7_25016.graphml,-2.053,-2.0683486
Mo2C_010_2_Tc_1_O_0_7_1951.graphml,-3.096,-3.1488428
Mo2C_100_2_Pd_2_O_0_12_10706.graphml,-5.122999999999999,-4.651988
Mo2C_100_3_Nb_2_O_0_2_25953.graphml,-3.888,-3.8095467
Mo2C_101_7_Ir_0_O_0_2_23607.graphml,-3.551,-3.32877
Mo2C_101_9_Tc_1_O_0_8_10348.graphml,-3.9330000000000003,-3.9351315
Mo2C_111_4_V_0_O_0_1_6631.graphml,-2.4730000000000003,-2.3630116
Mo2C_100_2_W_3_O_0_14_11108.graphml,-5.026,-4.9592733
Mo2C_011_11_Pt_0_O_0_0_23679.graphml,-3.938,-3.9083788
Mo2C_111_7_Ti_0_O_0_0_9408.graphml,-4.831,-4.7153826
Mo2C_011_0_O_0_24_876.graphml,-2.623,-2.2646377
Mo2C_101_7_Tc_1_O_0_4_25740.graphml,-3.437,-3.4894805
Mo2C_100_0_Ni_2_O_0_3_13158.graphml,-3.217,-3.0911317
Mo2C_100_0_Ta_1_O_0_8_13445.graphml,-3.4960000000000004,-3.678749
Mo2C_101_4_O_0_31_826.graphml,-4.305,-4.194753
Mo2C_100_0_Mn_2_O_0_22_21173.graphml,-3.03,-2.8152509
Mo2C_100_0_Tc_2_O_0_0_9893.graphml,-3.1519999999999997,-3.0810335
Mo2C_101_0_Cu_0_O_0_9_13326.graphml,-2.165,-1.8912166
Mo2C_100_0_Os_2_O_0_10_15206.graphml,-3.003,-2.7726552
Mo2C_011_10_W_0_O_0_1_21987.graphml,-2.9760000000000004,-3.1323981
Mo2C_110_2_Au_0_O_0_1_23064.graphml,-4.254,-4.167446
Mo2C_111_9_O_0_13_25.graphml,-4.213,-4.248163
Mo2C_111_8_O_0_15_1408.graphml,-3.4210000000000003,-3.6647055
Mo2C_111_3_Pd_0_O_0_2_23019.graphml,-3.19,-3.3228052
Mo2C_100_3_V_0_O_0_0_21576.graphml,-2.156,-2.5677412
Mo2C_100_2_Ag_2_O_0_23_22715.graphml,-3.7760000000000002,-3.8351605
Mo2C_101_2_Nb_1_O_0_10_14000.graphml,-3.5260000000000002,-3.5316584
Mo2C_100_2_Ag_0_O_0_4_22659.graphml,-4.037,-4.1505294
Mo2C_101_5_Ag_1_O_0_8_5415.graphml,-3.556,-3.927448
Mo2C_110_3_Pt_1_O_0_5_1474.graphml,-2.6430000000000002,-2.6406498
Mo2C_111_7_Nb_0_O_0_3_3563.graphml,-4.3660000000000005,-4.211841
Mo2C_100_2_Os_3_O_0_5_12944.graphml,-5.151,-4.281149
Mo2C_100_2_Pt_1_O_0_11_14024.graphml,-3.784,-4.1471
Mo2C_010_0_Ir_1_O_0_8_19947.graphml,-3.491,-3.5807295
Mo2C_100_0_Ag_3_O_0_2_6744.graphml,-3.3089999999999997,-3.182431
Mo2C_110_3_Cd_0_O_0_8_8270.graphml,-2.006,-1.8860723
Mo2C_101_9_Ir_0_O_0_2_17674.graphml,-3.465,-3.813537
Mo2C_010_1_Re_0_O_0_5_6159.graphml,-2.003,-2.2240698
Mo2C_101_7_O_0_21_709.graphml,-4.694,-4.63941
Mo2C_100_3_Rh_3_O_0_16_6276.graphml,-3.577,-3.4929965
Mo2C_101_5_Ru_1_O_0_9_6100.graphml,-1.263,-1.0918076
Mo2C_111_9_Tc_0_O_0_3_14558.graphml,-3.157,-3.013869
Mo2C_100_3_Os_0_O_0_8_20292.graphml,-3.4530000000000003,-3.3805647
Mo2C_110_1_Nb_1_O_0_3_13387.graphml,-4.56,-4.5956335
Mo2C_001_2_Tc_1_O_0_5_4064.graphml,-4.2410000000000005,-4.311507
Mo2C_001_1_Pd_1_O_0_11_13162.graphml,-2.345,-2.3901968
Mo2C_100_5_Ag_3_O_0_0_19587.graphml,-4.9910000000000005,-5.116205
Mo2C_001_4_W_1_O_0_1_11393.graphml,-4.567,-4.900208
Mo2C_101_4_Tc_1_O_0_5_11889.graphml,-3.9330000000000003,-3.8302166
Mo2C_100_5_Co_3_O_0_1_14842.graphml,-3.45,-3.5033488
Mo2C_100_5_Ni_3_O_0_18_5208.graphml,-5.212999999999999,-4.786254
Mo2C_110_1_Cd_1_O_0_6_14318.graphml,-4.0969999999999995,-4.1106954
Mo2C_100_3_Mn_2_O_0_10_19025.graphml,-2.967,-2.7714221
Mo2C_101_0_Ta_1_O_0_11_789.graphml,-1.234,-1.2308424
Mo2C_011_6_Ni_0_O_0_1_22210.graphml,-4.673,-4.5556407
Mo2C_001_1_Os_0_O_0_6_449.graphml,-3.778,-4.069617
Mo2C_100_5_Pd_0_O_0_5_24238.graphml,-4.041,-4.111845
Mo2C_101_9_V_1_O_0_0_16018.graphml,-4.9719999999999995,-5.4175553
Mo2C_001_1_Nb_0_O_0_1_8528.graphml,-4.062,-4.2055407
Mo2C_100_4_O_0_11_696.graphml,-2.779,-2.736995
Mo2C_011_5_Os_0_O_0_0_16522.graphml,-4.1,-3.9225283
Mo2C_100_0_Cu_2_O_0_22_9617.graphml,-3.056,-3.0987136
Mo2C_111_6_Os_0_O_0_5_14885.graphml,-4.111000000000001,-4.155423
Mo2C_011_9_Ta_0_O_0_1_26260.graphml,-4.785,-4.973521
Mo2C_100_5_Co_3_O_0_23_25392.graphml,-4.765,-4.9130054
Mo2C_011_4_W_0_O_0_2_14383.graphml,-4.912,-4.841591
Mo2C_101_9_V_0_O_0_4_12448.graphml,-4.4830000000000005,-4.642398
Mo2C_110_4_Pt_0_O_0_4_6075.graphml,-1.818,-1.8115276
Mo2C_100_0_Pd_2_O_0_19_11147.graphml,-2.8080000000000003,-2.7751026
Mo2C_100_5_Cd_1_O_0_9_22393.graphml,-4.053,-3.8080056
Mo2C_100_5_Cd_0_O_0_6_10870.graphml,-3.3789999999999996,-3.8080056
Mo2C_100_0_Zn_3_O_0_12_17663.graphml,-3.012,-2.738403
Mo2C_100_3_Tc_3_O_0_19_19163.graphml,-3.072,-2.9518015
Mo2C_001_1_Nb_0_O_0_3_1919.graphml,-4.945,-4.9879155
Mo2C_111_3_Rh_0_O_0_5_18699.graphml,-2.186,-2.1687138
Mo2C_010_1_Rh_1_O_0_0_25925.graphml,-4.188,-4.301981
Mo2C_100_0_Ti_3_O_0_17_9833.graphml,-3.5589999999999997,-3.4115818
Mo2C_100_3_W_2_O_0_19_1948.graphml,-3.648,-3.6047523
Mo2C_101_0_Tc_1_O_0_9_16764.graphml,-2.406,-2.0975378
Mo2C_101_9_Re_0_O_0_7_18315.graphml,-4.1819999999999995,-4.2212334
Mo2C_100_5_Co_0_O_0_21_26114.graphml,-3.917,-4.210528
Mo2C_101_3_O_0_33_282.graphml,-2.634,-2.3081949
Mo2C_100_3_Zn_1_O_0_7_2673.graphml,-1.8769999999999998,-1.9782302
Mo2C_111_7_Cu_0_O_0_3_86.graphml,-4.338,-4.4599648
Mo2C_111_4_O_0_46_486.graphml,-1.226,-1.3202702
Mo2C_001_3_Mn_0_O_0_6_5582.graphml,-3.293,-3.185026
Mo2C_100_0_Ag_3_O_0_22_3076.graphml,-2.95,-2.8676083
Mo2C_100_2_Tc_2_O_0_22_9855.graphml,-4.718,-4.44922
Mo2C_110_1_Pt_1_O_0_2_4939.graphml,-4.0680000000000005,-4.0861125
Mo2C_001_2_Zn_0_O_0_0_10022.graphml,-3.4,-3.413307
Mo2C_011_10_O_0_36_1912.graphml,-3.935,-4.3206034
Mo2C_001_0_Re_1_O_0_6_24410.graphml,-2.91,-3.0580046
Mo2C_100_0_Cu_1_O_0_10_2823.graphml,-3.272,-3.1368177
Mo2C_101_2_Ag_1_O_0_0_14169.graphml,-3.4410000000000003,-3.393591
Mo2C_011_4_Os_0_O_0_0_8806.graphml,-3.5389999999999997,-3.470341
Mo2C_010_1_Os_1_O_0_3_3309.graphml,-4.224,-4.2160044
Mo2C_011_1_O_0_34_1470.graphml,-2.67,-2.8122756
Mo2C_011_5_Fe_0_O_0_0_18226.graphml,-3.968,-3.8840642
Mo2C_001_0_Fe_1_O_0_6_24866.graphml,-3.3080000000000003,-3.2001894
Mo2C_101_4_Cr_0_O_0_1_14469.graphml,-3.6460000000000004,-3.5805657
Mo2C_100_2_Mn_1_O_0_14_15926.graphml,-4.998,-4.894964
Mo2C_100_5_Ir_0_O_0_8_20917.graphml,-4.1419999999999995,-4.6206675
Mo2C_010_2_Mn_1_O_0_7_7597.graphml,-2.377,-2.5317912
Mo2C_100_2_Zn_2_O_0_12_10802.graphml,-5.0280000000000005,-4.897263
Mo2C_111_7_O_0_31_1383.graphml,-4.937,-4.8493843
Mo2C_100_0_Rh_2_O_0_12_4467.graphml,-2.376,-2.5749419
Mo2C_101_2_Re_1_O_0_9_25350.graphml,-3.1260000000000003,-3.058986
Mo2C_110_4_Pd_1_O_0_4_21487.graphml,-1.765,-1.9299649
Mo2C_001_1_Ta_1_O_0_7_19427.graphml,-5.175,-5.1584344
Mo2C_110_1_Cr_1_O_0_6_21247.graphml,-4.048,-4.120267
Mo2C_100_5_Ir_3_O_0_14_16253.graphml,-4.553,-4.807046
Mo2C_100_5_Mn_3_O_0_11_25703.graphml,-4.725,-4.7128897
Mo2C_110_4_Pd_1_O_0_5_9489.graphml,-1.9809999999999999,-2.129389
Mo2C_110_1_Fe_1_O_0_9_2828.graphml,-4.043,-4.0872154
Mo2C_110_0_Fe_0_O_0_2_7529.graphml,-4.095,-3.938886
Mo2C_001_1_Pd_1_O_0_7_3328.graphml,-2.8819999999999997,-2.8025749
Mo2C_100_2_Cu_1_O_0_10_10909.graphml,-4.644,-4.581329
Mo2C_100_5_Os_2_O_0_10_20538.graphml,-3.85,-4.3897977
Mo2C_110_1_Ru_0_O_0_9_23060.graphml,-4.07,-4.173353
Mo2C_101_5_Ti_0_O_0_4_2350.graphml,-3.805,-4.5406475
Mo2C_110_1_Zn_0_O_0_3_15642.graphml,-4.1610000000000005,-4.237209
Mo2C_110_4_Pt_1_O_0_2_15878.graphml,-2.141,-2.2373183
Mo2C_010_0_Pd_0_O_0_0_8772.graphml,-3.904,-3.8046176
Mo2C_110_1_Mn_0_O_0_5_23583.graphml,-4.52,-4.576617
Mo2C_100_5_Mn_3_O_0_22_24227.graphml,-4.902,-4.5575967
Mo2C_100_5_Mn_1_O_0_16_56.graphml,-4.0760000000000005,-4.3870564
Mo2C_010_0_Au_1_O_0_6_14782.graphml,-3.833,-3.7213085
Mo2C_101_5_Re_1_O_0_3_17702.graphml,-4.208,-4.025609
Mo2C_110_2_Ni_1_O_0_7_8584.graphml,-4.178999999999999,-4.228685
Mo2C_100_0_Rh_2_O_0_0_16528.graphml,-3.5839999999999996,-3.5792308
Mo2C_100_0_Mn_2_O_0_4_1726.graphml,-2.958,-2.8543231
Mo2C_110_1_Ag_0_O_0_4_261.graphml,-4.191,-4.15177
Mo2C_101_0_Ag_1_O_0_0_8244.graphml,-6.18,-6.901708
Mo2C_100_5_Re_2_O_0_0_22451.graphml,-3.221,-3.265041
Mo2C_101_1_Ir_0_O_0_3_6752.graphml,-4.23,-4.232168
Mo2C_100_3_Ni_3_O_0_12_12145.graphml,-2.926,-2.724517
Mo2C_110_1_Pt_0_O_0_3_23587.graphml,-4.093,-4.217292
Mo2C_100_3_Pd_2_O_0_2_1359.graphml,-3.8139999999999996,-3.7771134
Mo2C_101_9_Tc_0_O_0_11_21847.graphml,-4.184,-3.8744767
Mo2C_010_1_Cr_1_O_0_9_9365.graphml,-3.0389999999999997,-2.9904296
Mo2C_100_2_Cu_2_O_0_13_7466.graphml,-5.127000000000001,-4.8107095
Mo2C_110_4_V_0_O_0_6_9562.graphml,-1.993,-2.003407
Mo2C_110_0_Cd_1_O_0_3_23010.graphml,-3.5239999999999996,-3.3876064
Mo2C_001_5_Rh_1_O_0_2_9892.graphml,-3.556,-3.5546222
Mo2C_011_5_Ir_0_O_0_1_12162.graphml,-3.728,-3.6271393
Mo2C_100_2_Ti_2_O_0_8_11040.graphml,-5.386,-4.8898764
Mo2C_100_2_Cu_1_O_0_19_20755.graphml,-4.633,-4.0834804
Mo2C_100_3_Co_1_O_0_21_23721.graphml,-3.833,-3.8132708
Mo2C_100_3_Pd_2_O_0_4_10074.graphml,-2.804,-2.7422352
Mo2C_100_3_Tc_0_O_0_18_13205.graphml,-3.398,-3.4210858
Mo2C_100_2_Ir_0_O_0_21_23974.graphml,-3.8680000000000003,-3.8832853
Mo2C_100_5_Cu_3_O_0_7_12771.graphml,-5.127999999999999,-4.810709
Mo2C_010_2_V_0_O_0_0_3678.graphml,-4.773,-4.7135406
Mo2C_011_1_Os_0_O_0_1_1690.graphml,-2.951,-2.9098618
Mo2C_100_3_W_1_O_0_4_18060.graphml,-3.57,-3.6477706
Mo2C_101_0_Fe_0_O_0_0_1404.graphml,-3.5469999999999997,-3.3252432
Mo2C_001_2_Re_0_O_0_2_810.graphml,-4.175,-4.414276
Mo2C_100_5_Fe_0_O_0_17_4422.graphml,-4.345,-4.592968
Mo2C_100_2_Ta_3_O_0_14_12571.graphml,-4.9239999999999995,-4.8052406
Mo2C_001_1_Ir_0_O_0_10_14576.graphml,-2.969,-2.8044856
Mo2C_110_4_O_0_10_710.graphml,-1.892,-1.72373
Mo2C_100_2_Cu_2_O_0_3_9973.graphml,-3.466,-3.3697221
Mo2C_100_5_Ni_2_O_0_14_26147.graphml,-5.212000000000001,-4.793499
Mo2C_100_4_W_0_O_0_1_22439.graphml,-5.324,-5.4878507
Mo2C_110_2_V_0_O_0_0_17398.graphml,-4.535,-4.527293
Mo2C_100_3_Ta_0_O_0_6_6337.graphml,-3.0660000000000003,-3.0220673
Mo2C_010_2_Co_0_O_0_7_10112.graphml,-2.302,-2.2015944
Mo2C_100_0_Ta_1_O_0_17_22065.graphml,-3.3810000000000002,-3.4133112
Mo2C_100_2_W_2_O_0_7_20566.graphml,-4.656000000000001,-4.4996367
Mo2C_100_2_Ru_0_O_0_4_18477.graphml,-3.9330000000000003,-4.4984093
Mo2C_100_1_Ti_0_O_0_6_26184.graphml,-5.553,-5.381348
Mo2C_100_1_O_0_23_860.graphml,-5.04,-4.7165184
Mo2C_101_5_O_0_41_1548.graphml,-2.194,-2.1965861
Mo2C_001_1_Ir_1_O_0_11_803.graphml,-2.9219999999999997,-2.8063881
Mo2C_001_4_O_0_5_1126.graphml,-4.704,-4.5997806
Mo2C_101_0_W_1_O_0_4_10139.graphml,-1.2670000000000001,-0.8644335
Mo2C_011_7_O_0_32_718.graphml,-2.773,-2.864428
Mo2C_100_2_Cu_2_O_0_11_20762.graphml,-3.8739999999999997,-4.037944
Mo2C_010_1_Ta_1_O_0_9_24225.graphml,-1.224,-1.3881565
Mo2C_101_0_Au_1_O_0_11_12228.graphml,-3.698,-3.7230752
Mo2C_100_2_Pd_2_O_0_13_18387.graphml,-5.124,-4.720775
Mo2C_010_1_Cr_1_O_0_5_17828.graphml,-2.28,-2.3121927
Mo2C_100_0_Re_1_O_0_4_14273.graphml,-3.534,-3.6478596
Mo2C_101_7_Os_0_O_0_11_16625.graphml,-3.202,-2.9345515
Mo2C_100_3_Tc_2_O_0_9_18324.graphml,-3.12,-3.063411
Mo2C_100_5_Fe_0_O_0_21_6426.graphml,-4.032,-4.0001283
Mo2C_110_4_Ir_0_O_0_11_20159.graphml,-1.848,-1.710162
Mo2C_011_1_Rh_0_O_0_0_3700.graphml,-4.122,-4.071836
Mo2C_010_3_Re_0_O_0_8_19244.graphml,-2.129,-2.1811023
Mo2C_100_3_Ag_3_O_0_20_4162.graphml,-3.3080000000000003,-3.125005
Mo2C_001_4_Os_0_O_0_5_17028.graphml,-3.783,-4.069617
Mo2C_100_5_Ir_2_O_0_19_9045.graphml,-3.609,-3.32837
Mo2C_001_3_Ni_1_O_0_6_13789.graphml,-3.697,-3.8240216
Mo2C_100_5_Tc_0_O_0_22_7066.graphml,-4.783,-4.701761
Mo2C_110_5_Rh_0_O_0_11_11227.graphml,-2.995,-2.8837905
Mo2C_100_2_Pd_3_O_0_6_25757.graphml,-5.122999999999999,-4.82598
Mo2C_101_4_Os_1_O_0_6_1856.graphml,-3.286,-3.8661027
Mo2C_100_5_Ru_0_O_0_23_83.graphml,-4.261,-4.477884
Mo2C_010_2_Ag_0_O_0_8_26545.graphml,-3.438,-3.495067
Mo2C_110_0_Au_0_O_0_6_7206.graphml,-4.572,-4.499574
Mo2C_001_0_W_1_O_0_4_26026.graphml,-1.7169999999999999,-1.8023773
Mo2C_100_2_Cu_3_O_0_7_16550.graphml,-3.82,-4.2349453
Mo2C_100_0_O_0_5_484.graphml,-3.467,-3.3373554
Mo2C_111_8_Ag_0_O_0_5_26012.graphml,-4.506,-4.6268687
Mo2C_001_0_O_0_10_1747.graphml,-2.93,-2.6882598
Mo2C_100_2_Mn_0_O_0_10_6950.graphml,-4.636,-4.674821
Mo2C_101_9_Cu_0_O_0_3_14487.graphml,-2.283,-2.3169649
Mo2C_100_5_Ag_2_O_0_4_12857.graphml,-4.9910000000000005,-4.271233
Mo2C_001_4_W_0_O_0_7_7254.graphml,-5.012,-5.0907545
Mo2C_010_0_Tc_0_O_0_8_5110.graphml,-2.108,-2.2266042
Mo2C_110_1_Pt_1_O_0_6_7863.graphml,-4.093999999999999,-4.217292
Mo2C_100_5_Zn_0_O_0_18_14155.graphml,-4.208,-3.8602116
Mo2C_100_2_Au_3_O_0_0_22373.graphml,-5.003,-4.766969
Mo2C_100_0_Os_3_O_0_4_7643.graphml,-2.6439999999999997,-2.706829
Mo2C_001_4_Fe_0_O_0_3_13595.graphml,-1.615,-1.674072
Mo2C_100_2_Ir_1_O_0_1_1554.graphml,-3.863,-3.769171
Mo2C_100_0_Tc_3_O_0_17_22122.graphml,-2.381,-2.995733
Mo2C_100_2_Pd_1_O_0_11_15421.graphml,-3.968,-4.151256
Mo2C_001_5_Ag_0_O_0_6_8074.graphml,-4.297,-4.2583895
Mo2C_110_4_Tc_1_O_0_4_12695.graphml,-1.7409999999999999,-1.5655234
Mo2C_010_3_Ag_1_O_0_1_25375.graphml,-3.4560000000000004,-3.3995683
Mo2C_100_2_Re_2_O_0_14_16175.graphml,-4.659,-4.399944
Mo2C_101_0_Zn_1_O_0_10_25563.graphml,-2.165,-2.1897242
Mo2C_111_6_Co_0_O_0_2_7817.graphml,-2.7039999999999997,-2.1633236
Mo2C_101_0_Pt_0_O_0_8_8799.graphml,-1.3519999999999999,-1.2094673
Mo2C_100_2_Tc_3_O_0_0_14062.graphml,-3.347,-3.1649075
Mo2C_100_2_Ag_0_O_0_10_20473.graphml,-3.945,-4.4379363
Mo2C_110_4_Re_0_O_0_6_18826.graphml,-1.6680000000000001,-1.7151119
