graphFileName,y_test,y_test_pred
Mo2C_010_2_Ni_1_O_0_0_10401.graphml,-3.7230000000000003,-3.723042
Mo2C_100_3_Os_3_O_0_9_22332.graphml,-2.6180000000000003,-2.5612268
Mo2C_100_2_Ru_1_O_0_12_23790.graphml,-4.564,-4.502637
Mo2C_011_5_Fe_0_O_0_3_13507.graphml,-3.055,-3.6504776
Mo2C_100_5_Ti_3_O_0_5_5042.graphml,-5.233,-4.8665485
Mo2C_101_2_Ta_1_O_0_10_26456.graphml,-3.435,-3.391632
Mo2C_011_0_O_0_28_499.graphml,-2.6289999999999996,-2.4657576
Mo2C_001_3_V_1_O_0_2_13522.graphml,-3.252,-3.3146374
Mo2C_111_6_Pt_0_O_0_2_11971.graphml,-2.6839999999999997,-2.3021615
Mo2C_110_1_Cu_0_O_0_4_16501.graphml,-4.163,-4.1873455
Mo2C_011_9_Cr_0_O_0_2_10134.graphml,-3.4810000000000003,-3.1175036
Mo2C_001_1_Cr_0_O_0_0_13215.graphml,-3.825,-4.118155
Mo2C_100_0_Mn_0_O_0_11_13275.graphml,-4.823,-4.8706703
Mo2C_101_0_Os_0_O_0_9_2373.graphml,-2.353,-2.0809858
Mo2C_100_3_Ag_3_O_0_4_21023.graphml,-3.0060000000000002,-2.8618667
Mo2C_100_5_Os_2_O_0_21_13831.graphml,-5.15,-4.7184353
Mo2C_100_0_Rh_1_O_0_4_12814.graphml,-3.3539999999999996,-3.3768532
Mo2C_110_3_O_0_2_954.graphml,-3.23,-2.6318505
Mo2C_010_0_Os_0_O_0_4_4962.graphml,-2.733,-2.5134308
Mo2C_011_6_O_0_36_51.graphml,-4.4319999999999995,-4.181178
Mo2C_100_3_Ta_1_O_0_8_7273.graphml,-3.9530000000000003,-3.8171067
Mo2C_100_0_Rh_2_O_0_10_11360.graphml,-2.273,-2.1686103
Mo2C_100_2_Tc_2_O_0_19_23324.graphml,-4.188,-3.7853072
Mo2C_010_2_Ni_1_O_0_7_5786.graphml,-2.318,-2.1591003
Mo2C_100_5_Pt_0_O_0_0_24602.graphml,-3.536,-3.641556
Mo2C_011_1_Pt_0_O_0_0_4141.graphml,-3.512,-2.8432024
Mo2C_100_2_Cr_1_O_0_6_15243.graphml,-4.771,-4.8991666
Mo2C_101_4_W_0_O_0_7_10118.graphml,-4.329,-4.637762
Mo2C_100_2_W_1_O_0_2_5163.graphml,-3.326,-3.2625496
Mo2C_110_0_W_1_O_0_9_6863.graphml,-4.157,-4.375531
Mo2C_011_4_O_0_20_803.graphml,-4.567,-4.7510324
Mo2C_101_4_Co_0_O_0_11_4484.graphml,-3.568,-3.6387131
Mo2C_100_0_Pt_2_O_0_15_13787.graphml,-2.7230000000000003,-2.8635762
Mo2C_010_0_Ta_1_O_0_0_2118.graphml,-5.44,-5.478758
Mo2C_011_3_Fe_0_O_0_2_10716.graphml,-2.9360000000000004,-3.1179187
Mo2C_100_2_Tc_1_O_0_8_6319.graphml,-4.783,-4.7914524
Mo2C_101_2_O_0_1_236.graphml,-4.6930000000000005,-3.6485782
Mo2C_111_1_Ta_0_O_0_2_6102.graphml,-4.063,-4.171923
Mo2C_100_2_Pt_2_O_0_21_9915.graphml,-5.119,-4.7733974
Mo2C_001_3_Rh_0_O_0_0_11735.graphml,-3.516,-3.3941474
Mo2C_101_4_Ni_1_O_0_2_16124.graphml,-4.494,-3.8258805
Mo2C_100_5_Cu_3_O_0_9_24016.graphml,-5.127000000000001,-5.071911
Mo2C_101_0_Mn_1_O_0_11_10703.graphml,-1.348,-2.215229
Mo2C_001_2_Nb_1_O_0_2_335.graphml,-4.151,-4.2577934
Mo2C_101_5_O_0_24_927.graphml,-3.159,-3.79274
Mo2C_001_4_V_1_O_0_11_18688.graphml,-4.9719999999999995,-4.8723536
Mo2C_011_6_Tc_0_O_0_3_13358.graphml,-4.607,-4.2360597
Mo2C_101_5_Ni_1_O_0_2_15695.graphml,-3.5069999999999997,-3.5589037
Mo2C_100_0_Ta_0_O_0_12_5028.graphml,-3.952,-3.8171067
Mo2C_010_3_Re_1_O_0_8_20228.graphml,-2.925,-3.002403
Mo2C_101_8_O_0_3_1560.graphml,-4.564,-4.2832947
Mo2C_100_5_V_3_O_0_17_285.graphml,-4.9510000000000005,-5.01151
Mo2C_100_2_Re_0_O_0_8_10390.graphml,-4.638,-4.6127625
Mo2C_100_0_Fe_2_O_0_8_8500.graphml,-2.826,-3.0873966
Mo2C_100_2_Cu_3_O_0_22_18191.graphml,-5.129,-4.8392878
Mo2C_100_3_Nb_3_O_0_18_834.graphml,-3.1919999999999997,-3.1401923
Mo2C_101_5_Cu_1_O_0_11_25646.graphml,-1.9269999999999998,-2.095969
Mo2C_010_1_Ir_0_O_0_3_9696.graphml,-4.336,-3.8366425
Mo2C_101_7_Ta_1_O_0_11_9481.graphml,-3.095,-3.166001
Mo2C_110_1_Pt_1_O_0_7_17472.graphml,-4.247,-4.1753526
Mo2C_100_2_Pd_2_O_0_8_20206.graphml,-4.783,-4.720775
Mo2C_101_7_Ti_1_O_0_2_2548.graphml,-4.912,-4.2025642
Mo2C_100_2_Pd_1_O_0_12_19313.graphml,-4.622,-4.288319
Mo2C_001_4_Ta_1_O_0_4_10942.graphml,-5.172999999999999,-5.1505213
Mo2C_010_0_Re_0_O_0_5_9351.graphml,-2.929,-3.0527766
Mo2C_110_3_Os_0_O_0_7_4318.graphml,-2.8139999999999996,-1.7227298
Mo2C_101_5_Ni_1_O_0_8_1787.graphml,-3.511,-2.7731795
Mo2C_100_2_V_0_O_0_4_17401.graphml,-4.871,-5.168051
Mo2C_101_4_O_0_18_852.graphml,-3.252,-4.464082
Mo2C_110_0_Fe_1_O_0_9_20171.graphml,-4.098,-4.3149447
Mo2C_100_5_W_1_O_0_3_3031.graphml,-3.307,-3.6553981
Mo2C_110_3_Fe_0_O_0_2_2413.graphml,-2.523,-2.6225698
Mo2C_100_5_Ir_3_O_0_11_6213.graphml,-4.555,-4.773611
Mo2C_111_2_V_0_O_0_1_518.graphml,-1.433,-2.5495584
Mo2C_101_9_Ti_1_O_0_9_10630.graphml,-3.537,-3.1871915
Mo2C_101_7_Tc_1_O_0_6_12711.graphml,-2.6,-4.154924
Mo2C_111_7_V_0_O_0_0_24817.graphml,-3.8360000000000003,-4.219749
Mo2C_101_0_Rh_0_O_0_3_12744.graphml,-2.28,-2.617122
Mo2C_101_7_Ni_1_O_0_5_9624.graphml,-3.1239999999999997,-3.0221095
Mo2C_101_2_W_0_O_0_0_20419.graphml,-4.962,-4.3817015
Mo2C_001_2_Nb_0_O_0_5_4293.graphml,-4.151,-4.2577934
Mo2C_100_2_Au_2_O_0_0_7439.graphml,-5.001,-4.917363
Mo2C_100_5_Ti_1_O_0_15_6381.graphml,-5.575,-4.9950886
Mo2C_100_5_Rh_2_O_0_6_852.graphml,-4.66,-4.797247
Mo2C_100_5_Rh_0_O_0_22_22300.graphml,-4.52,-4.6124263
Mo2C_100_3_Cd_3_O_0_4_17225.graphml,-3.185,-2.9040155
Mo2C_001_3_Cr_0_O_0_5_13683.graphml,-2.2030000000000003,-2.4095094
Mo2C_100_2_Tc_3_O_0_23_11789.graphml,-4.188,-3.7853072
Mo2C_110_1_Ru_1_O_0_5_26546.graphml,-4.336,-4.372096
Mo2C_100_5_Cd_3_O_0_8_25536.graphml,-4.668,-4.3518553
Mo2C_010_2_Ru_1_O_0_3_1580.graphml,-3.793,-3.4310782
Mo2C_101_1_Pd_0_O_0_3_26040.graphml,-4.45,-4.5024147
Mo2C_001_4_Re_1_O_0_10_1016.graphml,-1.46,-2.5713398
Mo2C_100_0_Co_0_O_0_16_12735.graphml,-3.556,-3.720378
Mo2C_100_2_Ti_1_O_0_4_3748.graphml,-4.622,-4.9950886
Mo2C_100_2_Ir_1_O_0_16_22084.graphml,-3.6630000000000003,-4.3406305
Mo2C_011_10_O_0_19_456.graphml,-2.745,-2.8208873
Mo2C_100_2_Zn_1_O_0_13_18840.graphml,-4.209,-4.308144
Mo2C_110_3_Cd_0_O_0_0_22982.graphml,-2.719,-2.7379024
Mo2C_111_3_Ni_0_O_0_5_18990.graphml,-2.169,-2.2362745
Mo2C_001_5_Mn_0_O_0_6_20093.graphml,-4.4239999999999995,-4.5492697
Mo2C_100_5_Co_3_O_0_7_7322.graphml,-5.274,-4.9096594
Mo2C_101_4_Zn_1_O_0_9_16335.graphml,-3.6210000000000004,-3.8083172
Mo2C_001_4_Re_1_O_0_7_1830.graphml,-4.373,-4.5348234
Mo2C_101_2_Os_0_O_0_2_24050.graphml,-3.513,-3.3558967
Mo2C_111_9_O_0_46_54.graphml,-3.469,-3.5238307
Mo2C_100_3_Co_2_O_0_5_13726.graphml,-1.431,-1.2840875
Mo2C_101_5_Mn_1_O_0_9_8116.graphml,-1.347,-2.215229
Mo2C_001_4_Ir_1_O_0_10_26108.graphml,-2.969,-2.8044858
Mo2C_100_0_Cr_3_O_0_4_20468.graphml,-3.012,-3.0616198
Mo2C_101_9_Tc_1_O_0_10_3315.graphml,-3.929,-3.9879582
Mo2C_100_1_Tc_1_O_0_5_7097.graphml,-2.611,-2.5363915
Mo2C_011_9_Re_0_O_0_1_7167.graphml,-4.678999999999999,-4.6532893
Mo2C_100_2_Fe_2_O_0_16_17583.graphml,-3.7039999999999997,-4.648942
Mo2C_101_4_Cu_1_O_0_5_2598.graphml,-3.633,-3.618096
Mo2C_001_4_Ru_0_O_0_4_12795.graphml,-3.7239999999999998,-3.5503743
Mo2C_001_2_O_0_0_139.graphml,-4.919,-4.6791787
Mo2C_101_4_Cd_0_O_0_3_15387.graphml,-2.279,-2.2509143
Mo2C_010_2_Co_0_O_0_5_21286.graphml,-3.7439999999999998,-3.4305918
Mo2C_100_2_Pt_1_O_0_18_23459.graphml,-3.8930000000000002,-3.8523412
Mo2C_100_3_Co_3_O_0_15_25422.graphml,-3.4589999999999996,-1.2840873
Mo2C_010_2_Cu_0_O_0_7_5653.graphml,-2.4,-2.4107907
Mo2C_110_0_Pt_1_O_0_3_16028.graphml,-3.772,-3.8352149
Mo2C_100_2_Cr_0_O_0_20_14756.graphml,-5.229,-5.0150156
Mo2C_101_5_Fe_0_O_0_10_5022.graphml,-2.408,-2.163216
Mo2C_001_1_Au_1_O_0_9_4418.graphml,-2.505,-2.6181548
Mo2C_010_3_Cu_0_O_0_8_10157.graphml,-3.71,-3.7426746
Mo2C_100_5_Pd_3_O_0_5_22050.graphml,-5.122000000000001,-4.6710844
Mo2C_101_7_Ag_1_O_0_2_7623.graphml,-3.435,-3.3579657
Mo2C_101_5_Ru_1_O_0_5_25630.graphml,-1.263,-1.5531169
Mo2C_111_7_O_0_43_305.graphml,-2.9589999999999996,-3.471279
Mo2C_100_2_Zn_2_O_0_9_19101.graphml,-5.024,-4.2493477
Mo2C_100_3_Pd_2_O_0_5_4893.graphml,-1.2329999999999999,-1.026212
Mo2C_101_5_O_0_46_857.graphml,-3.0589999999999997,-3.488912
Mo2C_100_5_Nb_1_O_0_14_26455.graphml,-5.215,-5.088169
Mo2C_100_1_Ag_1_O_0_0_9385.graphml,-3.657,-3.6664941
Mo2C_010_3_Fe_0_O_0_0_15558.graphml,-3.455,-3.4560335
Mo2C_101_2_Tc_0_O_0_4_22112.graphml,-3.2030000000000003,-3.084085
Mo2C_011_3_Cd_0_O_0_2_16416.graphml,-3.905,-4.2660947
Mo2C_101_0_Ti_1_O_0_8_24568.graphml,-1.305,-1.1669506
Mo2C_101_0_Mn_0_O_0_0_10286.graphml,-3.963,-3.357228
Mo2C_111_0_Nb_0_O_0_3_17481.graphml,-4.527,-4.251942
Mo2C_100_2_V_1_O_0_2_26029.graphml,-3.569,-3.697987
Mo2C_001_1_Cr_0_O_0_4_9652.graphml,-4.537,-4.6232777
Mo2C_101_9_Ir_1_O_0_8_17826.graphml,-3.734,-3.7292914
Mo2C_100_5_Mn_0_O_0_5_17120.graphml,-4.604,-4.1296334
Mo2C_101_7_Ni_1_O_0_2_6228.graphml,-3.6919999999999997,-2.70249
Mo2C_010_3_Ir_0_O_0_0_6771.graphml,-4.244,-4.2617702
Mo2C_110_1_Mn_0_O_0_2_14863.graphml,-4.465,-4.5078
Mo2C_100_5_Pt_1_O_0_18_6859.graphml,-4.126,-4.1042914
Mo2C_100_5_Au_1_O_0_22_3004.graphml,-4.527,-4.1091228
Mo2C_100_3_Ru_3_O_0_23_23257.graphml,-2.588,-2.7527752
Mo2C_100_5_Rh_0_O_0_1_4976.graphml,-4.601,-4.427656
Mo2C_100_3_W_1_O_0_5_9971.graphml,-3.363,-3.5251973
Mo2C_100_5_Cd_3_O_0_5_13860.graphml,-3.9930000000000003,-3.6695306
Mo2C_100_2_Ru_3_O_0_20_282.graphml,-4.4319999999999995,-4.2871914
Mo2C_100_5_Mn_1_O_0_4_14847.graphml,-4.605,-4.1296334
Mo2C_110_5_Co_0_O_0_5_26140.graphml,-2.464,-2.3454134
Mo2C_101_4_Cr_1_O_0_7_5225.graphml,-4.399,-4.1160345
Mo2C_100_2_Cr_2_O_0_14_751.graphml,-5.181,-4.8633866
Mo2C_100_5_Mn_0_O_0_15_11670.graphml,-4.902,-4.720751
Mo2C_011_6_Pd_0_O_0_1_22680.graphml,-4.756,-4.8043585
Mo2C_010_0_Au_0_O_0_2_12663.graphml,-2.563,-2.57636
Mo2C_011_9_O_0_11_1583.graphml,-2.9210000000000003,-2.6101377
Mo2C_001_2_W_1_O_0_5_23120.graphml,-4.305,-4.4971843
Mo2C_100_4_Co_1_O_0_0_6710.graphml,-3.347,-3.2627857
Mo2C_100_0_Cu_2_O_0_2_19715.graphml,-3.83,-3.9284248
Mo2C_100_0_Ta_0_O_0_15_16364.graphml,-3.495,-3.6787488
Mo2C_100_2_Ni_3_O_0_9_12747.graphml,-4.349,-4.833888
Mo2C_100_5_Pd_2_O_0_16_22966.graphml,-4.783,-4.783888
Mo2C_010_1_Ru_1_O_0_3_3156.graphml,-4.1160000000000005,-3.9127312
Mo2C_100_5_Cr_2_O_0_2_4803.graphml,-5.183,-4.599118
Mo2C_110_4_Pt_1_O_0_6_15353.graphml,-1.818,-1.8115271
Mo2C_111_0_Nb_0_O_0_5_23401.graphml,-4.53,-4.3745723
Mo2C_100_3_Zn_0_O_0_15_6767.graphml,-2.474,-2.2949524
Mo2C_110_4_V_1_O_0_11_1141.graphml,-1.952,-2.0746424
Mo2C_010_2_Mn_0_O_0_5_14387.graphml,-3.61,-3.7157667
Mo2C_100_2_Cd_1_O_0_7_13782.graphml,-4.423,-3.9370062
Mo2C_011_4_Ni_0_O_0_0_7838.graphml,-4.053,-4.019995
Mo2C_100_2_Cu_2_O_0_10_10859.graphml,-5.127999999999999,-4.190489
Mo2C_011_5_Os_0_O_0_1_11618.graphml,-4.101,-3.4849322
Mo2C_101_4_Ti_0_O_0_11_13329.graphml,-3.4389999999999996,-3.0135934
Mo2C_101_4_Au_0_O_0_4_2149.graphml,-3.588,-3.5692806
Mo2C_100_0_Ni_1_O_0_12_16301.graphml,-4.261,-4.3077445
Mo2C_100_3_Rh_1_O_0_8_16879.graphml,-3.142,-3.3278582
Mo2C_011_4_O_0_16_691.graphml,-3.0039999999999996,-3.1180823
Mo2C_011_3_O_0_23_320.graphml,-2.722,-2.1438603
Mo2C_111_1_Co_0_O_0_0_23300.graphml,-4.168,-3.3266435
Mo2C_001_3_Pt_1_O_0_0_15608.graphml,-2.0780000000000003,-2.1742656
Mo2C_110_3_Ti_1_O_0_8_15894.graphml,-2.1430000000000002,-2.0044749
Mo2C_110_5_Os_1_O_0_7_1328.graphml,-3.8739999999999997,-3.6384494
Mo2C_010_0_Fe_0_O_0_3_2013.graphml,-3.237,-3.6540196
Mo2C_101_9_Tc_0_O_0_10_8451.graphml,-3.469,-4.0452724
Mo2C_100_5_Ir_1_O_0_3_9787.graphml,-3.3110000000000004,-3.1438005
Mo2C_100_5_V_2_O_0_21_11645.graphml,-4.9319999999999995,-4.7086096
Mo2C_100_5_Cu_1_O_0_11_8564.graphml,-4.644,-4.581329
Mo2C_100_3_Cu_0_O_0_15_14729.graphml,-3.264,-3.136817
Mo2C_110_3_Pd_0_O_0_11_280.graphml,-2.7030000000000003,-1.9033576
Mo2C_001_5_Cr_0_O_0_4_22150.graphml,-4.758,-4.7366786
Mo2C_010_0_Cd_0_O_0_6_15242.graphml,-3.9810000000000003,-3.9482753
Mo2C_110_1_Cr_1_O_0_3_6956.graphml,-4.279,-4.377004
Mo2C_101_7_Co_1_O_0_5_1303.graphml,-3.127,-3.4410985
Mo2C_100_3_Cr_2_O_0_1_23174.graphml,-3.355,-3.2987006
Mo2C_100_2_Fe_1_O_0_15_10771.graphml,-4.848,-4.5713124
Mo2C_100_2_Cr_0_O_0_0_22635.graphml,-3.4210000000000003,-3.1182663
Mo2C_100_5_Re_1_O_0_10_15305.graphml,-4.248,-4.3623695
Mo2C_100_0_Ag_3_O_0_13_24441.graphml,-2.9560000000000004,-2.8697646
Mo2C_100_5_Zn_3_O_0_18_11291.graphml,-5.0280000000000005,-4.832348
Mo2C_110_4_V_0_O_0_0_22678.graphml,-3.1180000000000003,-3.2964604
Mo2C_100_5_Nb_3_O_0_5_14565.graphml,-4.925,-4.7043524
Mo2C_011_4_O_0_19_1409.graphml,-4.223,-4.4865294
Mo2C_001_1_Re_0_O_0_10_14793.graphml,-1.426,-2.5713403
Mo2C_100_4_Cr_1_O_0_2_7307.graphml,-2.7569999999999997,-3.245513
Mo2C_101_7_Pt_1_O_0_0_16145.graphml,-3.234,-3.8607438
Mo2C_100_5_Ni_2_O_0_10_5181.graphml,-3.823,-4.6711655
Mo2C_100_5_Cr_3_O_0_12_7177.graphml,-4.629,-4.896989
Mo2C_100_5_Ag_3_O_0_2_26581.graphml,-3.373,-3.9420736
Mo2C_011_4_Zn_0_O_0_3_16648.graphml,-3.12,-3.3324177
Mo2C_010_0_Re_0_O_0_9_25631.graphml,-3.2539999999999996,-3.2347224
Mo2C_100_2_Co_0_O_0_23_15636.graphml,-4.6419999999999995,-4.3257465
Mo2C_011_2_Rh_0_O_0_0_1236.graphml,-3.29,-3.748544
Mo2C_010_2_Ag_1_O_0_6_4444.graphml,-4.099,-4.1191463
Mo2C_100_5_Zn_1_O_0_16_1132.graphml,-3.875,-4.212675
Mo2C_100_5_Nb_2_O_0_19_9075.graphml,-4.7410000000000005,-4.413517
Mo2C_010_0_Rh_1_O_0_2_26241.graphml,-2.237,-2.402747
Mo2C_101_0_Ta_1_O_0_10_18067.graphml,-2.354,-2.1485426
Mo2C_100_2_Ag_3_O_0_10_6143.graphml,-4.83,-4.9417434
Mo2C_101_4_Co_0_O_0_1_9175.graphml,-3.5,-3.3170257
Mo2C_111_8_Os_0_O_0_2_9710.graphml,-4.113,-4.475529
Mo2C_100_5_V_3_O_0_18_23063.graphml,-5.12,-5.097875
Mo2C_100_5_V_0_O_0_5_14528.graphml,-4.647,-4.811826
Mo2C_100_0_Ni_1_O_0_0_11880.graphml,-3.449,-3.649571
Mo2C_111_4_Re_0_O_0_5_21296.graphml,-3.948,-3.9728892
Mo2C_101_7_Cr_1_O_0_10_9984.graphml,-3.201,-3.1581626
Mo2C_100_5_Re_2_O_0_17_1021.graphml,-4.522,-4.717096
Mo2C_100_3_Os_2_O_0_0_3159.graphml,-2.9130000000000003,-2.7639656
Mo2C_101_2_Ni_0_O_0_11_13371.graphml,-3.699,-3.7575877
Mo2C_100_1_O_0_4_265.graphml,-2.971,-3.647793
Mo2C_001_3_Mn_1_O_0_0_13990.graphml,-2.411,-2.4441378
Mo2C_100_0_Pd_2_O_0_23_8288.graphml,-3.813,-3.74663
Mo2C_110_3_Rh_0_O_0_11_18362.graphml,-2.012,-1.6700137
Mo2C_110_0_Ru_0_O_0_7_18854.graphml,-3.678,-3.655319
Mo2C_100_5_Rh_1_O_0_14_20188.graphml,-4.383,-4.703332
Mo2C_111_9_O_0_27_1555.graphml,-4.1160000000000005,-3.0404932
Mo2C_101_6_Pt_0_O_0_3_5236.graphml,-4.3389999999999995,-4.377618
Mo2C_110_0_O_0_9_1598.graphml,-4.217,-3.9129422
Mo2C_010_1_Ir_1_O_0_9_5976.graphml,-3.0669999999999997,-3.0624444
Mo2C_101_5_Tc_1_O_0_2_25611.graphml,-3.22,-3.2560306
Mo2C_110_4_Re_0_O_0_4_15563.graphml,-1.881,-2.0014076
Mo2C_100_5_Ir_2_O_0_22_26575.graphml,-5.1770000000000005,-4.81657
Mo2C_001_1_Fe_0_O_0_7_23129.graphml,-1.6159999999999999,-1.6740713
Mo2C_101_5_Au_1_O_0_8_2735.graphml,-3.699,-2.826592
Mo2C_010_2_Re_0_O_0_4_14153.graphml,-4.226,-4.163618
Mo2C_100_5_V_1_O_0_16_15518.graphml,-4.1530000000000005,-4.7275295
Mo2C_001_2_Pd_1_O_0_4_21997.graphml,-3.509,-3.5193594
Mo2C_101_2_Cr_0_O_0_10_19028.graphml,-3.5260000000000002,-3.180124
Mo2C_100_2_Re_1_O_0_13_8293.graphml,-4.635,-4.612762
Mo2C_100_0_Rh_0_O_0_3_121.graphml,-3.722,-3.6291645
Mo2C_001_4_Tc_1_O_0_0_11515.graphml,-3.883,-3.8811715
Mo2C_111_1_Fe_0_O_0_3_20082.graphml,-3.225,-4.1832047
Mo2C_101_4_Pt_0_O_0_6_7134.graphml,-3.5060000000000002,-3.5815432
Mo2C_100_3_Cr_3_O_0_23_10952.graphml,-3.3480000000000003,-3.3539822
Mo2C_111_2_O_0_0_1608.graphml,-1.801,-2.9140162
Mo2C_100_5_Pd_3_O_0_17_9762.graphml,-5.124,-4.798237
Mo2C_100_5_Pt_2_O_0_9_596.graphml,-3.424,-4.5744543
Mo2C_011_3_O_0_32_1198.graphml,-4.349,-4.494336
Mo2C_010_0_Ir_0_O_0_6_10214.graphml,-3.295,-3.2825325
Mo2C_101_2_O_0_48_1936.graphml,-3.1710000000000003,-2.6585624
Mo2C_100_2_Nb_1_O_0_13_12791.graphml,-5.215,-5.088169
Mo2C_010_0_Ru_1_O_0_4_6362.graphml,-3.7960000000000003,-3.4909368
Mo2C_101_6_Os_0_O_0_0_13829.graphml,-2.4290000000000003,-3.5936708
Mo2C_100_4_Ti_1_O_0_1_18249.graphml,-5.557,-5.4958014
Mo2C_110_4_V_0_O_0_9_11635.graphml,-1.955,-2.074642
Mo2C_100_5_Ag_3_O_0_8_14730.graphml,-4.832,-5.038846
Mo2C_100_3_Ti_3_O_0_3_9974.graphml,-3.805,-3.7267878
Mo2C_100_0_Ni_2_O_0_13_7437.graphml,-2.986,-2.865247
