graphFileName,y_valid,y_valid_pred
Mo2C_100_1_O_0_16_401.graphml,-5.0360000000000005,-5.016261
Mo2C_111_8_O_0_11_404.graphml,-3.7889999999999997,-4.7114587
Mo2C_101_5_O_0_43_413.graphml,-3.0269999999999997,-2.590845
Mo2C_100_4_O_0_10_417.graphml,-2.97,-2.8853796
Mo2C_101_1_O_0_21_418.graphml,-3.1210000000000004,-2.4739778
Mo2C_101_6_O_0_52_419.graphml,-3.122,-2.6834223
Mo2C_100_3_O_0_5_427.graphml,-3.545,-3.3791578
Mo2C_011_5_O_0_3_428.graphml,-2.5839999999999996,-3.9999094
Mo2C_111_1_O_0_7_431.graphml,-3.258,-2.7906165
Mo2C_111_9_O_0_44_436.graphml,-3.6319999999999997,-3.6075802
Mo2C_111_2_O_0_35_443.graphml,-2.331,-3.0957434
Mo2C_010_0_O_0_13_449.graphml,-2.374,-2.3342636
Mo2C_011_8_O_0_9_457.graphml,-2.364,-2.2131543
Mo2C_100_2_O_0_4_461.graphml,-4.546,-4.6998243
Mo2C_011_9_O_0_29_462.graphml,-2.722,-2.1438603
Mo2C_111_5_O_0_21_468.graphml,-1.855,-2.0667691
Mo2C_011_0_O_0_7_473.graphml,-4.011,-4.0247307
Mo2C_111_4_O_0_54_475.graphml,-2.877,-2.7755685
Mo2C_101_6_O_0_2_476.graphml,-1.584,-2.2277043
Mo2C_101_1_O_0_35_477.graphml,-1.308,-1.1849111
Mo2C_011_2_O_0_5_478.graphml,-4.938,-4.722889
Mo2C_100_3_O_0_14_495.graphml,-3.266,-3.2226665
Mo2C_011_1_O_0_16_496.graphml,-3.009,-2.9937685
Mo2C_101_7_O_0_20_503.graphml,-2.588,-2.43359
Mo2C_101_1_O_0_36_504.graphml,-1.653,-1.6243836
Mo2C_111_8_O_0_42_507.graphml,-3.536,-3.963498
Mo2C_111_7_O_0_41_521.graphml,-4.109,-3.8017347
Mo2C_010_1_O_0_2_523.graphml,-1.8530000000000002,-2.7923543
Mo2C_011_8_O_0_41_541.graphml,-4.938,-4.939617
Mo2C_100_0_O_0_3_545.graphml,-3.468,-3.2882164
Mo2C_011_6_O_0_6_547.graphml,-3.045,-2.941084
Mo2C_010_0_O_0_11_549.graphml,-3.1239999999999997,-3.4573267
Mo2C_011_6_O_0_7_554.graphml,-4.01,-4.0247307
Mo2C_011_9_O_0_39_555.graphml,-4.789,-4.5723734
Mo2C_011_11_O_0_32_556.graphml,-3.6010000000000004,-3.227301
Mo2C_011_4_O_0_30_560.graphml,-3.103,-2.9638765
Mo2C_010_3_O_0_9_561.graphml,-3.1639999999999997,-3.103346
Mo2C_111_2_O_0_18_566.graphml,-3.1239999999999997,-3.47167
Mo2C_111_5_O_0_50_574.graphml,-3.708,-4.239116
Mo2C_111_3_O_0_11_575.graphml,-2.16,-1.9791292
Mo2C_001_3_O_0_8_588.graphml,-2.839,-2.8489854
Mo2C_011_5_O_0_30_606.graphml,-3.0239999999999996,-3.0091765
Mo2C_110_3_O_0_6_632.graphml,-3.178,-2.2142162
Mo2C_011_0_O_0_14_634.graphml,-3.697,-4.0434003
Mo2C_110_5_O_0_12_635.graphml,-4.187,-4.33717
Mo2C_111_2_O_0_57_637.graphml,-2.696,-2.6388633
Mo2C_011_11_O_0_27_640.graphml,-4.829,-4.580393
Mo2C_011_11_O_0_12_651.graphml,-4.834,-4.4948072
Mo2C_100_1_O_0_3_652.graphml,-5.038,-4.485212
Mo2C_011_1_O_0_12_660.graphml,-3.968,-4.4741573
Mo2C_100_4_O_0_17_662.graphml,-2.7760000000000002,-2.6596756
Mo2C_010_0_O_0_9_663.graphml,-2.1919999999999997,-2.0203831
Mo2C_111_7_O_0_22_665.graphml,-4.11,-4.062431
Mo2C_011_11_O_0_29_668.graphml,-2.427,-2.7816737
Mo2C_111_3_O_0_43_676.graphml,-3.071,-3.2696593
Mo2C_010_3_O_0_1_677.graphml,-4.2410000000000005,-4.255786
Mo2C_101_7_O_0_1_697.graphml,-4.692,-3.648578
Mo2C_011_10_O_0_5_700.graphml,-4.566,-4.518369
Mo2C_011_6_O_0_35_702.graphml,-3.174,-2.9507515
Mo2C_111_4_O_0_29_726.graphml,-3.991,-3.7998488
Mo2C_111_3_O_0_33_727.graphml,-3.185,-2.7769313
Mo2C_011_8_O_0_17_737.graphml,-3.3789999999999996,-3.8371618
Mo2C_111_2_O_0_15_739.graphml,-3.264,-3.0294473
Mo2C_101_0_O_0_42_755.graphml,-3.247,-3.2947218
Mo2C_111_0_O_0_9_758.graphml,-5.148,-4.327423
Mo2C_111_2_O_0_44_761.graphml,-2.2769999999999997,-2.3018942
Mo2C_011_9_O_0_32_762.graphml,-2.9210000000000003,-2.954089
Mo2C_011_1_O_0_25_764.graphml,-4.941,-4.876595
Mo2C_111_9_O_0_38_765.graphml,-4.119,-3.5639522
Mo2C_011_8_O_0_24_773.graphml,-2.76,-2.8024318
Mo2C_111_5_O_0_37_774.graphml,-1.8559999999999999,-2.7531784
Mo2C_100_4_O_0_24_775.graphml,-3.0780000000000003,-4.345672
Mo2C_111_8_O_0_8_778.graphml,-4.511,-4.879784
Mo2C_101_0_O_0_33_781.graphml,-3.2310000000000003,-4.2257414
Mo2C_101_6_O_0_21_784.graphml,-3.3739999999999997,-3.625085
Mo2C_101_6_O_0_0_786.graphml,-3.2060000000000004,-3.0622318
Mo2C_011_1_O_0_35_801.graphml,-2.67,-2.8242965
Mo2C_101_6_O_0_6_804.graphml,-4.208,-3.9681623
Mo2C_111_1_O_0_51_806.graphml,-4.975,-4.010657
Mo2C_011_1_O_0_27_813.graphml,-3.86,-4.0523252
Mo2C_100_4_O_0_14_836.graphml,-5.037,-3.9325302
Mo2C_011_1_O_0_39_838.graphml,-4.413,-4.485643
Mo2C_110_2_O_0_5_841.graphml,-3.16,-2.9627695
Mo2C_101_5_O_0_31_844.graphml,-3.2319999999999998,-4.2257414
Mo2C_111_1_O_0_41_846.graphml,-2.84,-2.716113
Mo2C_110_5_O_0_7_851.graphml,-2.372,-2.546043
Mo2C_101_0_O_0_8_853.graphml,-3.555,-3.3461034
Mo2C_011_0_O_0_35_855.graphml,-2.642,-3.1868668
Mo2C_101_0_O_0_18_859.graphml,-3.554,-1.9215509
Mo2C_101_0_O_0_15_870.graphml,-2.2119999999999997,-1.980355
Mo2C_111_4_O_0_17_874.graphml,-3.0860000000000003,-2.8264298
Mo2C_111_0_O_0_48_875.graphml,-4.637,-4.8580894
Mo2C_101_6_O_0_50_878.graphml,-3.88,-3.1143804
Mo2C_011_10_O_0_25_879.graphml,-4.664,-4.502265
Mo2C_011_2_O_0_4_885.graphml,-3.2760000000000002,-3.263007
Mo2C_011_5_O_0_23_891.graphml,-3.0239999999999996,-3.0091069
Mo2C_111_7_O_0_9_896.graphml,-4.435,-4.1224756
Mo2C_111_8_O_0_29_902.graphml,-4.073,-4.19547
Mo2C_011_6_O_0_24_907.graphml,-2.6289999999999996,-3.0133502
Mo2C_011_3_O_0_17_909.graphml,-3.4560000000000004,-3.383013
Mo2C_111_4_O_0_8_910.graphml,-3.0860000000000003,-2.6419027
Mo2C_011_11_O_0_9_913.graphml,-3.6010000000000004,-3.7567222
Mo2C_101_2_O_0_30_917.graphml,-4.6930000000000005,-4.6592746
Mo2C_101_6_O_0_25_923.graphml,-2.347,-2.375961
Mo2C_011_9_O_0_22_929.graphml,-4.787,-4.851906
Mo2C_101_9_O_0_10_932.graphml,-4.1160000000000005,-4.244607
Mo2C_111_4_O_0_30_948.graphml,-2.415,-1.5657121
Mo2C_101_4_O_0_35_952.graphml,-3.6830000000000003,-4.0840845
Mo2C_111_8_O_0_9_957.graphml,-4.244,-4.421666
Mo2C_111_4_O_0_24_958.graphml,-2.306,-1.8904269
Mo2C_011_3_O_0_2_962.graphml,-4.043,-4.004924
Mo2C_111_0_O_0_23_964.graphml,-3.221,-3.3553152
Mo2C_111_9_O_0_16_969.graphml,-4.213,-4.230021
Mo2C_011_7_O_0_2_974.graphml,-4.725,-4.456444
Mo2C_011_2_O_0_2_975.graphml,-3.08,-2.991971
Mo2C_101_5_O_0_49_977.graphml,-3.2430000000000003,-3.3436797
Mo2C_111_3_O_0_37_980.graphml,-2.344,-3.5071998
Mo2C_111_2_O_0_40_982.graphml,-3.386,-3.2621505
Mo2C_111_6_O_0_26_983.graphml,-3.8739999999999997,-4.246211
Mo2C_111_0_O_0_21_985.graphml,-3.201,-3.1869924
Mo2C_100_3_O_0_2_986.graphml,-3.43,-3.6220844
Mo2C_011_5_O_0_14_991.graphml,-2.9189999999999996,-3.0018685
Mo2C_101_7_O_0_33_992.graphml,-2.81,-2.617968
Mo2C_011_8_O_0_12_1005.graphml,-2.685,-2.926891
Mo2C_011_0_O_0_43_1007.graphml,-2.63,-2.8340325
Mo2C_111_6_O_0_11_1022.graphml,-4.289,-4.632217
Mo2C_011_10_O_0_10_1025.graphml,-3.9339999999999997,-4.4035554
Mo2C_101_7_O_0_44_1033.graphml,-2.889,-3.1869032
Mo2C_101_9_O_0_29_1037.graphml,-3.79,-4.197956
Mo2C_011_6_O_0_23_1042.graphml,-2.63,-2.465758
Mo2C_001_2_O_0_3_1049.graphml,-4.921,-4.734103
Mo2C_111_5_O_0_19_1050.graphml,-2.533,-2.5640616
Mo2C_111_6_O_0_0_1054.graphml,-3.89,-3.4665606
Mo2C_111_0_O_0_40_1059.graphml,-3.221,-3.6351144
Mo2C_010_0_O_0_8_1063.graphml,-3.1260000000000003,-4.1184688
Mo2C_101_3_O_0_0_1067.graphml,-4.561,-4.305166
Mo2C_011_4_O_0_34_1070.graphml,-4.657,-4.5162287
Mo2C_011_5_O_0_27_1074.graphml,-4.834,-4.3357153
Mo2C_011_3_O_0_7_1076.graphml,-4.047,-4.063931
Mo2C_011_5_O_0_40_1092.graphml,-4.834,-4.5635157
Mo2C_001_1_O_0_16_1096.graphml,-4.704,-4.532959
Mo2C_011_2_O_0_37_1100.graphml,-2.363,-2.7570786
Mo2C_101_8_O_0_5_1110.graphml,-2.6710000000000003,-2.6649506
Mo2C_101_3_O_0_27_1111.graphml,-2.488,-2.2597523
Mo2C_111_2_O_0_22_1120.graphml,-1.8,-2.5955112
Mo2C_011_6_O_0_38_1121.graphml,-2.63,-2.8340325
Mo2C_101_1_O_0_33_1129.graphml,-1.735,-2.043261
Mo2C_101_0_O_0_12_1130.graphml,-4.691,-4.6232376
Mo2C_011_3_O_0_37_1134.graphml,-2.6460000000000004,-2.6407702
Mo2C_111_0_O_0_29_1140.graphml,-5.149,-4.4264164
Mo2C_101_7_O_0_35_1142.graphml,-3.7889999999999997,-3.4855332
Mo2C_101_0_O_0_10_1146.graphml,-4.687,-3.1890252
Mo2C_111_6_O_0_2_1151.graphml,-3.891,-4.3167663
Mo2C_011_9_O_0_7_1162.graphml,-4.047,-4.063931
Mo2C_111_0_O_0_45_1163.graphml,-2.998,-2.6655564
Mo2C_100_1_O_0_20_1164.graphml,-2.9730000000000003,-2.722184
Mo2C_110_5_O_0_2_1168.graphml,-4.604,-3.6295779
Mo2C_101_7_O_0_48_1170.graphml,-3.7880000000000003,-3.7592163
Mo2C_001_1_O_0_13_1183.graphml,-3.3760000000000003,-3.5826602
Mo2C_100_0_O_0_1_1190.graphml,-3.214,-3.5032914
Mo2C_101_5_O_0_34_1193.graphml,-3.557,-3.4852338
Mo2C_111_4_O_0_38_1196.graphml,-3.1039999999999996,-3.9571092
Mo2C_111_5_O_0_31_1201.graphml,-4.3660000000000005,-3.793365
Mo2C_110_2_O_0_8_1207.graphml,-3.16,-3.2956617
Mo2C_011_8_O_0_18_1208.graphml,-3.08,-3.3972495
Mo2C_110_3_O_0_22_1215.graphml,-2.033,-2.3827355
Mo2C_101_7_O_0_22_1216.graphml,-4.696000000000001,-4.4108915
Mo2C_100_4_O_0_25_1220.graphml,-5.04,-4.7165184
Mo2C_101_7_O_0_39_1222.graphml,-2.87,-2.544995
Mo2C_111_3_O_0_50_1223.graphml,-2.121,-3.057389
Mo2C_011_7_O_0_18_1235.graphml,-3.1519999999999997,-3.3243177
Mo2C_010_2_O_0_2_1236.graphml,-4.609,-4.396855
Mo2C_101_5_O_0_44_1243.graphml,-3.025,-3.2476184
Mo2C_101_5_O_0_4_1249.graphml,-3.025,-3.0013447
Mo2C_001_1_O_0_1_1253.graphml,-4.704,-4.5724864
Mo2C_101_1_O_0_34_1254.graphml,-2.162,-2.242106
Mo2C_101_6_O_0_53_1257.graphml,-3.403,-3.2409208
Mo2C_001_0_O_0_7_1258.graphml,-2.8689999999999998,-2.7563508
Mo2C_101_4_O_0_26_1259.graphml,-4.1160000000000005,-4.0880785
Mo2C_111_8_O_0_35_1261.graphml,-4.985,-4.637597
Mo2C_101_5_O_0_17_1262.graphml,-3.228,-3.543238
Mo2C_111_2_O_0_45_1273.graphml,-2.278,-1.7634363
Mo2C_011_5_O_0_1_1278.graphml,-4.833,-4.71782
Mo2C_101_1_O_0_14_1290.graphml,-2.346,-2.3981614
Mo2C_001_3_O_0_6_1293.graphml,-1.733,-2.7343528
Mo2C_101_2_O_0_26_1294.graphml,-4.694,-3.9968395
Mo2C_101_7_O_0_14_1300.graphml,-4.694,-3.9968393
Mo2C_101_1_O_0_10_1304.graphml,-3.2039999999999997,-3.3549364
Mo2C_101_6_O_0_11_1309.graphml,-1.735,-2.043262
Mo2C_001_5_O_0_4_1322.graphml,-4.919,-4.665246
Mo2C_011_5_O_0_32_1327.graphml,-3.188,-2.6252692
Mo2C_101_3_O_0_11_1328.graphml,-4.564,-4.5816445
Mo2C_100_3_O_0_12_1329.graphml,-3.266,-3.265954
Mo2C_100_4_O_0_4_1331.graphml,-2.781,-2.813563
Mo2C_101_6_O_0_38_1336.graphml,-3.12,-2.4739778
Mo2C_010_0_O_0_4_1346.graphml,-4.611000000000001,-4.6947584
Mo2C_101_6_O_0_13_1364.graphml,-1.912,-1.8153969
Mo2C_101_6_O_0_17_1365.graphml,-2.675,-2.4921353
Mo2C_101_0_O_0_25_1366.graphml,-3.225,-3.4743068
Mo2C_010_2_O_0_6_1370.graphml,-3.128,-3.4573271
Mo2C_100_2_O_0_3_1373.graphml,-5.031000000000001,-5.033468
Mo2C_001_4_O_0_8_1378.graphml,-2.513,-2.5634606
Mo2C_101_8_O_0_20_1386.graphml,-3.326,-4.108412
Mo2C_010_2_O_0_5_1397.graphml,-3.125,-4.1184688
Mo2C_111_7_O_0_33_1398.graphml,-4.936,-4.563176
Mo2C_101_6_O_0_16_1415.graphml,-2.9,-2.613879
Mo2C_101_0_O_0_37_1416.graphml,-2.194,-2.321041
Mo2C_111_9_O_0_11_1420.graphml,-3.215,-3.4235852
Mo2C_011_1_O_0_26_1423.graphml,-4.7219999999999995,-4.4741573
Mo2C_110_2_O_0_4_1437.graphml,-4.115,-3.4822524
Mo2C_011_11_O_0_6_1445.graphml,-4.832,-4.6530056
Mo2C_011_2_O_0_29_1456.graphml,-3.2769999999999997,-3.2236102
Mo2C_011_9_O_0_12_1459.graphml,-3.094,-3.0505965
Mo2C_101_6_O_0_26_1463.graphml,-3.182,-4.086169
Mo2C_101_5_O_0_27_1464.graphml,-2.525,-2.7128615
Mo2C_011_8_O_0_26_1468.graphml,-3.2769999999999997,-3.2139995
Mo2C_111_6_O_0_46_1471.graphml,-4.098,-4.170324
Mo2C_011_0_O_0_2_1480.graphml,-3.697,-3.6124668
Mo2C_111_1_O_0_2_1488.graphml,-4.578,-4.232925
Mo2C_111_0_O_0_3_1491.graphml,-4.746,-4.3045654
Mo2C_111_4_O_0_31_1497.graphml,-2.11,-2.8385212
Mo2C_111_7_O_0_44_1506.graphml,-4.109,-4.164308
Mo2C_111_1_O_0_1_1508.graphml,-4.978,-3.5132203
Mo2C_100_4_O_0_18_1514.graphml,-2.971,-2.9293787
Mo2C_001_3_O_0_0_1523.graphml,-2.872,-2.9683845
Mo2C_011_4_O_0_24_1524.graphml,-4.364,-4.4028597
Mo2C_001_1_O_0_4_1528.graphml,-4.699,-4.603668
Mo2C_110_2_O_0_1_1529.graphml,-4.112,-4.3017936
Mo2C_111_5_O_0_15_1531.graphml,-3.657,-3.0509012
Mo2C_101_1_O_0_9_1534.graphml,-3.4960000000000004,-3.8775203
Mo2C_011_9_O_0_10_1537.graphml,-3.46,-3.6120465
Mo2C_111_9_O_0_12_1539.graphml,-3.4539999999999997,-3.0017207
Mo2C_011_4_O_0_29_1547.graphml,-4.664,-4.415165
Mo2C_100_3_O_0_10_1557.graphml,-3.266,-3.1706586
Mo2C_111_2_O_0_43_1561.graphml,-3.012,-3.2559302
Mo2C_101_9_O_0_4_1569.graphml,-4.306,-3.7941086
Mo2C_101_5_O_0_40_1571.graphml,-4.689,-3.673096
Mo2C_011_9_O_0_33_1572.graphml,-2.812,-2.5632737
Mo2C_001_0_O_0_12_1576.graphml,-2.884,-2.5136635
Mo2C_101_7_O_0_7_1580.graphml,-4.694,-4.437356
Mo2C_101_1_O_0_2_1588.graphml,-1.584,-2.2277043
Mo2C_111_5_O_0_9_1590.graphml,-4.087,-4.4977274
Mo2C_111_7_O_0_5_1594.graphml,-4.937,-4.3294835
Mo2C_011_10_O_0_28_1595.graphml,-4.361000000000001,-4.415165
Mo2C_101_6_O_0_46_1596.graphml,-2.347,-2.6473708
Mo2C_101_8_O_0_41_1600.graphml,-4.249,-4.1326485
Mo2C_101_3_O_0_37_1616.graphml,-4.565,-4.5300307
Mo2C_011_7_O_0_38_1618.graphml,-4.413,-4.485643
Mo2C_011_1_O_0_18_1634.graphml,-3.1519999999999997,-3.3243177
Mo2C_101_1_O_0_13_1641.graphml,-2.9019999999999997,-2.8188293
Mo2C_101_8_O_0_11_1644.graphml,-2.49,-2.3915226
Mo2C_010_3_O_0_5_1649.graphml,-2.416,-2.6541388
Mo2C_011_7_O_0_15_1650.graphml,-3.153,-3.583332
Mo2C_101_4_O_0_30_1654.graphml,-4.308,-4.190796
Mo2C_111_6_O_0_37_1682.graphml,-3.891,-3.5298035
Mo2C_111_2_O_0_1_1684.graphml,-3.385,-2.7889721
Mo2C_011_0_O_0_36_1687.graphml,-4.431,-4.181178
Mo2C_101_6_O_0_22_1692.graphml,-3.372,-3.4969606
Mo2C_100_4_O_0_8_1699.graphml,-2.912,-2.847945
Mo2C_111_9_O_0_5_1704.graphml,-4.6610000000000005,-4.358904
Mo2C_110_4_O_0_0_1705.graphml,-3.1180000000000003,-2.4674604
Mo2C_101_1_O_0_16_1709.graphml,-3.8819999999999997,-3.844923
Mo2C_111_9_O_0_39_1718.graphml,-4.117,-3.013963
Mo2C_101_1_O_0_11_1722.graphml,-1.906,-2.151995
Mo2C_010_0_O_0_14_1723.graphml,-3.2889999999999997,-3.7980745
Mo2C_111_6_O_0_13_1727.graphml,-3.892,-4.222382
Mo2C_011_2_O_0_15_1729.graphml,-3.446,-2.7582583
Mo2C_011_0_O_0_39_1752.graphml,-4.702,-4.2583466
Mo2C_101_9_O_0_7_1754.graphml,-4.721,-4.5575294
Mo2C_111_5_O_0_13_1755.graphml,-2.536,-2.7136738
Mo2C_100_4_O_0_13_1759.graphml,-3.0780000000000003,-3.0402198
Mo2C_110_2_O_0_17_1761.graphml,-4.114,-4.110315
Mo2C_011_10_O_0_23_1765.graphml,-4.364,-4.4028597
Mo2C_010_1_O_0_12_1771.graphml,-2.4130000000000003,-2.7120059
Mo2C_101_8_O_0_36_1772.graphml,-2.6289999999999996,-2.7287502
Mo2C_101_3_O_0_22_1773.graphml,-4.251,-2.8470557
Mo2C_111_2_O_0_36_1778.graphml,-2.1319999999999997,-2.067792
Mo2C_011_4_O_0_12_1785.graphml,-2.515,-3.22413
Mo2C_101_7_O_0_30_1794.graphml,-3.7880000000000003,-3.832863
Mo2C_111_8_O_0_12_1797.graphml,-4.985,-4.2048373
Mo2C_111_4_O_0_36_1805.graphml,-3.699,-3.5720792
Mo2C_011_1_O_0_15_1809.graphml,-2.6710000000000003,-2.4668932
Mo2C_011_5_O_0_9_1810.graphml,-3.1830000000000003,-3.1410272
Mo2C_011_6_O_0_42_1821.graphml,-2.805,-2.3789601
Mo2C_011_2_O_0_14_1828.graphml,-2.364,-2.3675146
Mo2C_101_5_O_0_47_1832.graphml,-2.21,-2.3442721
Mo2C_011_6_O_0_37_1833.graphml,-4.426,-4.600727
Mo2C_101_3_O_0_12_1841.graphml,-3.326,-4.108412
Mo2C_011_6_O_0_30_1842.graphml,-2.805,-2.5008285
Mo2C_111_5_O_0_7_1852.graphml,-4.628,-3.8944595
Mo2C_111_6_O_0_43_1854.graphml,-4.2139999999999995,-4.20673
Mo2C_101_5_O_0_12_1869.graphml,-4.692,-3.189025
Mo2C_011_7_O_0_25_1877.graphml,-4.941,-4.790449
Mo2C_011_7_O_0_7_1878.graphml,-2.6689999999999996,-2.823591
Mo2C_011_4_O_0_28_1879.graphml,-4.361000000000001,-4.415165
Mo2C_101_3_O_0_35_1884.graphml,-2.551,-2.8714643
Mo2C_101_5_O_0_2_1890.graphml,-2.456,-2.521768
Mo2C_101_9_O_0_16_1894.graphml,-4.593,-4.3660107
Mo2C_111_6_O_0_27_1896.graphml,-2.642,-2.8960598
Mo2C_111_9_O_0_24_1898.graphml,-3.467,-3.985123
Mo2C_011_2_O_0_39_1911.graphml,-4.938,-4.63261
Mo2C_111_8_O_0_7_1931.graphml,-3.855,-3.7360892
Mo2C_101_3_O_0_4_1942.graphml,-2.49,-2.2832015
Mo2C_101_3_O_0_10_1950.graphml,-4.564,-4.341178
Mo2C_010_3_O_0_2_1953.graphml,-1.8530000000000002,-2.7923543
