MDF_ASEdb_ID,graphFileName,bindingEnergy(eV)
65,Mo2C_111_6_O_0_19_65.graphml,-2.32219265
67,Mo2C_011_3_O_0_39_67.graphml,-2.72333194
68,Mo2C_101_8_O_0_13_68.graphml,-2.6717836
69,Mo2C_011_1_O_0_11_69.graphml,-4.55613689
70,Mo2C_101_9_O_0_27_70.graphml,-4.30985149
71,Mo2C_001_1_O_0_6_71.graphml,-4.702935
72,Mo2C_101_1_O_0_26_72.graphml,-3.88129236
73,Mo2C_111_2_O_0_8_73.graphml,-2.33381068
74,Mo2C_010_3_O_0_6_74.graphml,-2.41385203
75,Mo2C_111_2_O_0_54_75.graphml,-1.58957225
77,Mo2C_101_6_O_0_27_77.graphml,-3.88416196
78,Mo2C_100_4_O_0_1_78.graphml,-5.03799596
79,Mo2C_111_3_O_0_40_79.graphml,-3.1439022
80,Mo2C_101_1_O_0_20_80.graphml,-3.40284356
81,Mo2C_001_1_O_0_19_81.graphml,-2.51363756
82,Mo2C_101_4_O_0_33_82.graphml,-3.56830089
83,Mo2C_001_3_O_0_7_83.graphml,-2.88444203
84,Mo2C_011_0_O_0_23_84.graphml,-2.62732519
85,Mo2C_011_1_O_0_23_85.graphml,-2.64719081
86,Mo2C_110_1_O_0_15_86.graphml,-4.15585379
87,Mo2C_001_5_O_0_7_87.graphml,-4.92296699
88,Mo2C_010_2_O_0_14_88.graphml,-3.28819236
89,Mo2C_011_4_O_0_23_89.graphml,-2.74472801
90,Mo2C_111_4_O_0_2_90.graphml,-3.99084144
91,Mo2C_011_8_O_0_29_91.graphml,-4.38431702
92,Mo2C_111_4_O_0_35_92.graphml,-2.77695173
93,Mo2C_001_3_O_0_13_93.graphml,-2.8839974
94,Mo2C_111_5_O_0_10_94.graphml,-2.10937669
95,Mo2C_101_4_O_0_34_95.graphml,-4.59284578
96,Mo2C_101_0_O_0_0_96.graphml,-2.19208763
97,Mo2C_011_11_O_0_23_97.graphml,-2.9190506000000003
98,Mo2C_111_1_O_0_33_98.graphml,-2.92064742
99,Mo2C_011_9_O_0_38_99.graphml,-4.34913548
100,Mo2C_101_9_O_0_42_100.graphml,-4.74364567
101,Mo2C_101_1_O_0_51_101.graphml,-2.74457519
102,Mo2C_101_1_O_0_30_102.graphml,-3.37390778
103,Mo2C_101_1_O_0_31_103.graphml,-2.90177274
104,Mo2C_100_3_O_0_6_104.graphml,-3.54376214
105,Mo2C_011_10_O_0_13_105.graphml,-2.51696554
106,Mo2C_111_0_O_0_50_106.graphml,-4.74735957
107,Mo2C_001_3_O_0_1_107.graphml,-2.95195068
108,Mo2C_011_5_O_0_36_108.graphml,-2.91933043
109,Mo2C_001_0_O_0_3_109.graphml,-2.33268256
110,Mo2C_101_0_O_0_46_110.graphml,-3.16848193
111,Mo2C_001_1_O_0_17_111.graphml,-4.70262442
112,Mo2C_011_7_O_0_9_112.graphml,-2.64710076
113,Mo2C_011_11_O_0_16_113.graphml,-2.91795864
114,Mo2C_011_0_O_0_37_114.graphml,-3.17347086
115,Mo2C_011_8_O_0_2_115.graphml,-3.08016615
116,Mo2C_011_0_O_0_8_116.graphml,-4.60970917
117,Mo2C_010_1_O_0_16_117.graphml,-3.16266565
118,Mo2C_111_3_O_0_31_118.graphml,-1.7226289
119,Mo2C_111_3_O_0_42_119.graphml,-2.9370152000000003
120,Mo2C_101_4_O_0_14_120.graphml,-2.41370832
121,Mo2C_111_8_O_0_43_121.graphml,-3.37770661
122,Mo2C_101_4_O_0_20_122.graphml,-4.59321234
123,Mo2C_001_5_O_0_3_123.graphml,-4.29270643
124,Mo2C_011_7_O_0_33_124.graphml,-4.72644137
125,Mo2C_011_1_O_0_2_125.graphml,-4.72282906
126,Mo2C_011_2_O_0_20_126.graphml,-3.37841735
127,Mo2C_111_2_O_0_4_127.graphml,-2.30254839
128,Mo2C_101_1_O_0_49_128.graphml,-2.67346035
129,Mo2C_111_9_O_0_17_129.graphml,-4.15019034
130,Mo2C_101_7_O_0_18_130.graphml,-3.16821625
131,Mo2C_110_4_O_0_7_131.graphml,-3.24118137
132,Mo2C_110_2_O_0_11_132.graphml,-3.16079473
133,Mo2C_010_3_O_0_4_133.graphml,-4.23909867
134,Mo2C_011_1_O_0_38_134.graphml,-4.94044262
135,Mo2C_111_4_O_0_10_135.graphml,-3.70316721
136,Mo2C_111_2_O_0_2_136.graphml,-3.26442346
137,Mo2C_101_7_O_0_24_137.graphml,-3.78662534
138,Mo2C_101_3_O_0_36_138.graphml,-4.56462504
139,Mo2C_001_2_O_0_0_139.graphml,-4.91880221
140,Mo2C_101_4_O_0_8_140.graphml,-2.60343802
141,Mo2C_111_2_O_0_21_141.graphml,-0.35459366
142,Mo2C_101_4_O_0_29_142.graphml,-4.30012264
143,Mo2C_101_2_O_0_38_143.graphml,-2.74412836
144,Mo2C_101_7_O_0_19_144.graphml,-2.22091755
145,Mo2C_111_4_O_0_48_145.graphml,-2.90687766
146,Mo2C_101_9_O_0_36_146.graphml,-4.59315655
147,Mo2C_110_4_O_0_22_147.graphml,-2.08025696
148,Mo2C_110_1_O_0_14_148.graphml,-3.98796866
149,Mo2C_101_7_O_0_46_149.graphml,-2.74356826
150,Mo2C_111_2_O_0_41_150.graphml,-3.38571856
151,Mo2C_111_4_O_0_28_151.graphml,-3.85572268
152,Mo2C_011_9_O_0_30_152.graphml,-2.8346095
153,Mo2C_101_7_O_0_2_153.graphml,-3.78740435
154,Mo2C_111_4_O_0_16_154.graphml,-2.10967309
155,Mo2C_111_9_O_0_51_155.graphml,-3.355861
156,Mo2C_110_3_O_0_9_156.graphml,-3.15426888
157,Mo2C_011_1_O_0_36_157.graphml,-4.94319283
158,Mo2C_101_8_O_0_24_158.graphml,-4.56433588
159,Mo2C_110_1_O_0_7_159.graphml,-4.27566344
160,Mo2C_110_5_O_0_0_160.graphml,-4.60273291
161,Mo2C_110_2_O_0_0_161.graphml,-3.16197433
162,Mo2C_101_9_O_0_20_162.graphml,-2.41400851
163,Mo2C_101_2_O_0_17_163.graphml,-2.7396332
164,Mo2C_110_3_O_0_11_164.graphml,-3.15678289
165,Mo2C_111_5_O_0_14_165.graphml,-2.40776336
166,Mo2C_011_3_O_0_28_166.graphml,-2.92069426
167,Mo2C_110_2_O_0_10_167.graphml,-2.85033521
168,Mo2C_011_11_O_0_30_168.graphml,-2.53021661
169,Mo2C_011_7_O_0_19_169.graphml,-4.72229033
170,Mo2C_101_8_O_0_32_170.graphml,-4.5623316
171,Mo2C_101_2_O_0_3_171.graphml,-3.44034011
172,Mo2C_011_7_O_0_37_172.graphml,-4.9410422
173,Mo2C_011_6_O_0_15_173.graphml,-3.17265417
174,Mo2C_101_3_O_0_8_174.graphml,-3.78507646
175,Mo2C_100_2_O_0_10_175.graphml,-3.98415133
176,Mo2C_111_9_O_0_18_176.graphml,-4.14921706
177,Mo2C_111_0_O_0_17_177.graphml,-4.47896781
178,Mo2C_111_1_O_0_40_178.graphml,-4.15567909
179,Mo2C_011_3_O_0_9_179.graphml,-4.34833846
180,Mo2C_111_7_O_0_8_180.graphml,-3.87269361
181,Mo2C_011_4_O_0_22_181.graphml,-2.74241216
182,Mo2C_110_0_O_0_15_182.graphml,-4.01353238
183,Mo2C_101_0_O_0_14_183.graphml,-1.64270856
184,Mo2C_110_4_O_0_17_184.graphml,-3.11758714
185,Mo2C_111_7_O_0_2_185.graphml,-4.3769064
186,Mo2C_011_2_O_0_13_186.graphml,-2.36426392
187,Mo2C_011_0_O_0_20_187.graphml,-3.04585375
188,Mo2C_011_3_O_0_18_188.graphml,-3.15767466
189,Mo2C_101_8_O_0_8_189.graphml,-3.78397322
190,Mo2C_111_4_O_0_14_190.graphml,-3.0877539
191,Mo2C_110_4_O_0_5_191.graphml,-2.08105938
192,Mo2C_101_6_O_0_4_192.graphml,-1.91310013
193,Mo2C_101_7_O_0_27_193.graphml,-2.8522333
195,Mo2C_100_2_O_0_8_195.graphml,-5.03394067
196,Mo2C_001_1_O_0_3_196.graphml,-4.07725243
197,Mo2C_100_2_O_0_11_197.graphml,-4.62958087
198,Mo2C_011_7_O_0_28_198.graphml,-2.66769525
199,Mo2C_010_1_O_0_13_199.graphml,-4.23856896
200,Mo2C_111_3_O_0_6_200.graphml,-2.6692665
201,Mo2C_011_1_O_0_17_201.graphml,-3.15431547
202,Mo2C_011_10_O_0_24_202.graphml,-3.00552565
203,Mo2C_111_5_O_0_33_203.graphml,-4.37049673
204,Mo2C_101_2_O_0_0_204.graphml,-4.6913343
205,Mo2C_101_2_O_0_35_205.graphml,-3.16814064
206,Mo2C_011_4_O_0_3_206.graphml,-4.58809204
207,Mo2C_011_7_O_0_24_207.graphml,-3.15373045
208,Mo2C_011_1_O_0_21_208.graphml,-4.93797299
209,Mo2C_111_9_O_0_31_209.graphml,-3.31002905
210,Mo2C_111_6_O_0_4_210.graphml,-2.64100736
211,Mo2C_011_11_O_0_21_211.graphml,-3.02446915
212,Mo2C_100_4_O_0_16_212.graphml,-5.03697269
213,Mo2C_100_3_O_0_13_213.graphml,-3.54134794
214,Mo2C_101_6_O_0_20_214.graphml,-1.65306944
215,Mo2C_101_5_O_0_16_215.graphml,-2.51958853
216,Mo2C_101_7_O_0_8_216.graphml,-4.69594947
217,Mo2C_110_5_O_0_8_217.graphml,-2.55876236
218,Mo2C_011_7_O_0_20_218.graphml,-4.55523287
219,Mo2C_100_1_O_0_5_219.graphml,-2.97358553
220,Mo2C_111_9_O_0_47_220.graphml,-2.96927761
221,Mo2C_111_2_O_0_39_221.graphml,-2.27668175
222,Mo2C_011_3_O_0_20_222.graphml,-3.15782081
223,Mo2C_101_7_O_0_3_223.graphml,-3.43760848
224,Mo2C_101_8_O_0_6_224.graphml,-4.5658515999999985
225,Mo2C_011_3_O_0_30_225.graphml,-3.45927123
226,Mo2C_101_6_O_0_3_226.graphml,-2.74471387
227,Mo2C_111_2_O_0_3_227.graphml,-3.1238221
228,Mo2C_101_6_O_0_15_228.graphml,-2.67408356
229,Mo2C_111_4_O_0_22_229.graphml,-3.74177772
230,Mo2C_011_7_O_0_22_230.graphml,-2.67159165
231,Mo2C_101_8_O_0_21_231.graphml,-4.25276267
232,Mo2C_101_2_O_0_19_232.graphml,-3.78712104
233,Mo2C_011_0_O_0_0_233.graphml,-4.42953547
234,Mo2C_111_1_O_0_13_234.graphml,-2.84081947
235,Mo2C_010_1_O_0_7_235.graphml,-4.24225987
236,Mo2C_101_2_O_0_1_236.graphml,-4.69299115
237,Mo2C_011_5_O_0_2_237.graphml,-3.60432177
238,Mo2C_101_8_O_0_35_238.graphml,-4.65967414
239,Mo2C_011_1_O_0_14_239.graphml,-3.01119183
240,Mo2C_101_8_O_0_4_240.graphml,-2.48989004
241,Mo2C_110_2_O_0_21_241.graphml,-3.24243743
242,Mo2C_101_8_O_0_44_242.graphml,-4.56503103
243,Mo2C_111_4_O_0_18_243.graphml,-3.08626007
244,Mo2C_010_0_O_0_5_244.graphml,-2.72724164
246,Mo2C_111_4_O_0_51_246.graphml,-3.99443718
247,Mo2C_100_4_O_0_2_247.graphml,-2.97076668
248,Mo2C_101_8_O_0_14_248.graphml,-4.65872811
249,Mo2C_010_3_O_0_8_249.graphml,-4.24079964
250,Mo2C_111_5_O_0_29_250.graphml,-4.36922536
251,Mo2C_111_8_O_0_39_251.graphml,-3.4222611000000005
252,Mo2C_101_2_O_0_13_252.graphml,-2.74484957
253,Mo2C_010_0_O_0_10_253.graphml,-2.72807829
254,Mo2C_011_6_O_0_29_254.graphml,-2.64115682
255,Mo2C_101_0_O_0_36_255.graphml,-2.19268019
256,Mo2C_111_1_O_0_19_256.graphml,-4.97388931
258,Mo2C_100_1_O_0_22_258.graphml,-5.03966809
259,Mo2C_111_5_O_0_22_259.graphml,-3.78991741
260,Mo2C_101_0_O_0_30_260.graphml,-3.03621681
261,Mo2C_011_1_O_0_6_261.graphml,-4.04004484
262,Mo2C_110_1_O_0_9_262.graphml,-4.15569726
263,Mo2C_011_11_O_0_25_263.graphml,-3.0237273
264,Mo2C_101_0_O_0_35_264.graphml,-2.19408137
265,Mo2C_100_1_O_0_4_265.graphml,-2.97136954
266,Mo2C_100_5_O_0_10_266.graphml,-5.03377356
267,Mo2C_011_4_O_0_32_267.graphml,-4.56670715
268,Mo2C_010_2_O_0_13_268.graphml,-2.37478006
269,Mo2C_101_2_O_0_6_269.graphml,-2.85162407
270,Mo2C_111_0_O_0_44_270.graphml,-3.20017048
271,Mo2C_011_2_O_0_34_271.graphml,-4.93761839
272,Mo2C_001_0_O_0_5_272.graphml,-1.73339741
273,Mo2C_111_3_O_0_26_273.graphml,-2.6087899
274,Mo2C_011_6_O_0_14_274.graphml,-3.17350222
275,Mo2C_101_3_O_0_18_275.graphml,-4.56396365
276,Mo2C_111_9_O_0_4_276.graphml,-3.5525332
278,Mo2C_100_2_O_0_2_278.graphml,-4.54569394
279,Mo2C_011_5_O_0_0_279.graphml,-2.91707006
280,Mo2C_011_10_O_0_26_280.graphml,-4.22302648
281,Mo2C_101_4_O_0_9_281.graphml,-4.30931228
282,Mo2C_101_3_O_0_33_282.graphml,-2.63356335
283,Mo2C_101_0_O_0_40_283.graphml,-3.55884512
284,Mo2C_011_9_O_0_28_284.graphml,-3.15893609
286,Mo2C_100_4_O_0_9_286.graphml,-2.97169521
287,Mo2C_111_9_O_0_36_287.graphml,-4.66126043
288,Mo2C_101_0_O_0_28_288.graphml,-1.32316662
289,Mo2C_101_9_O_0_9_289.graphml,-2.11527163
290,Mo2C_011_11_O_0_24_290.graphml,-2.79558312
291,Mo2C_010_0_O_0_2_291.graphml,-4.60849248
292,Mo2C_101_9_O_0_33_292.graphml,-4.309793599999999
293,Mo2C_100_0_O_0_6_293.graphml,-3.26671759
294,Mo2C_011_8_O_0_0_294.graphml,-3.2785994
295,Mo2C_011_2_O_0_36_295.graphml,-2.88618373
296,Mo2C_101_5_O_0_19_296.graphml,-3.02475213
297,Mo2C_111_2_O_0_26_297.graphml,-3.26451084
298,Mo2C_110_0_O_0_13_298.graphml,-3.80308983
299,Mo2C_100_3_O_0_7_299.graphml,-4.82015005
300,Mo2C_111_6_O_0_22_300.graphml,-4.78928732
301,Mo2C_100_5_O_0_8_301.graphml,-3.98470058
302,Mo2C_101_7_O_0_15_302.graphml,-2.8671567
303,Mo2C_111_2_O_0_28_303.graphml,-3.16102161
304,Mo2C_111_9_O_0_15_304.graphml,-4.14939298
305,Mo2C_111_7_O_0_43_305.graphml,-2.95922601
306,Mo2C_011_5_O_0_22_306.graphml,-2.79554535
307,Mo2C_111_5_O_0_26_307.graphml,-3.40013964
308,Mo2C_101_6_O_0_48_308.graphml,-3.88321377
309,Mo2C_111_9_O_0_9_309.graphml,-3.35507342
312,Mo2C_011_3_O_0_25_312.graphml,-4.53929777
313,Mo2C_111_6_O_0_20_313.graphml,-4.02379282
314,Mo2C_101_5_O_0_48_314.graphml,-2.19286806
315,Mo2C_011_9_O_0_4_315.graphml,-4.78587196
316,Mo2C_110_0_O_0_8_316.graphml,-4.66151912
317,Mo2C_011_4_O_0_35_317.graphml,-2.74482208
318,Mo2C_001_1_O_0_2_318.graphml,-3.37290814
319,Mo2C_110_3_O_0_5_319.graphml,-2.03384172
320,Mo2C_011_3_O_0_23_320.graphml,-2.72238844
321,Mo2C_011_8_O_0_8_321.graphml,-2.36364159
322,Mo2C_001_1_O_0_7_322.graphml,-3.76335317
323,Mo2C_110_5_O_0_3_323.graphml,-3.93323357
324,Mo2C_101_9_O_0_17_324.graphml,-4.30957605
325,Mo2C_101_9_O_0_35_325.graphml,-3.56860872
326,Mo2C_001_4_O_0_18_326.graphml,-4.70246767
327,Mo2C_011_7_O_0_5_327.graphml,-4.93934356
328,Mo2C_101_1_O_0_27_328.graphml,-3.88555742
329,Mo2C_101_4_O_0_17_329.graphml,-4.30942918
330,Mo2C_001_0_O_0_2_330.graphml,-3.0124086
331,Mo2C_111_4_O_0_19_331.graphml,-2.41681398
332,Mo2C_011_7_O_0_17_332.graphml,-4.72265018
333,Mo2C_011_2_O_0_7_333.graphml,-3.37746265
334,Mo2C_101_1_O_0_15_334.graphml,-2.34539346
335,Mo2C_011_9_O_0_26_335.graphml,-3.15754385
336,Mo2C_111_6_O_0_40_336.graphml,-2.70070546
337,Mo2C_111_1_O_0_10_337.graphml,-4.57719059
338,Mo2C_101_2_O_0_8_338.graphml,-4.69539906
339,Mo2C_101_1_O_0_28_339.graphml,-4.21032284
340,Mo2C_111_5_O_0_3_340.graphml,-3.40007775
341,Mo2C_101_9_O_0_2_341.graphml,-4.30961102
342,Mo2C_011_10_O_0_0_342.graphml,-2.74405546
343,Mo2C_101_7_O_0_11_343.graphml,-4.69344134
344,Mo2C_100_4_O_0_21_344.graphml,-5.0358066
345,Mo2C_111_4_O_0_9_345.graphml,-3.8570807
346,Mo2C_111_2_O_0_10_346.graphml,-3.12214017
347,Mo2C_111_2_O_0_6_347.graphml,-2.2792235
348,Mo2C_101_0_O_0_38_348.graphml,-2.5228135
349,Mo2C_011_0_O_0_32_349.graphml,-2.25763514
350,Mo2C_011_6_O_0_11_350.graphml,-4.60781251
351,Mo2C_011_10_O_0_20_351.graphml,-2.74443981
352,Mo2C_110_1_O_0_2_352.graphml,-3.33788852
353,Mo2C_101_3_O_0_43_353.graphml,-4.2552777000000015
354,Mo2C_001_1_O_0_15_354.graphml,-3.37487441
355,Mo2C_100_3_O_0_9_355.graphml,-3.54086397
357,Mo2C_111_0_O_0_28_357.graphml,-4.63776443
358,Mo2C_010_0_O_0_7_358.graphml,-4.5876839999999985
359,Mo2C_101_9_O_0_37_359.graphml,-4.30782769
360,Mo2C_101_6_O_0_49_360.graphml,-3.8832033
361,Mo2C_110_0_O_0_4_361.graphml,-4.01497673
362,Mo2C_111_9_O_0_20_362.graphml,-2.87090789
363,Mo2C_111_0_O_0_36_363.graphml,-3.03362288
364,Mo2C_110_4_O_0_12_364.graphml,-2.07855443
365,Mo2C_101_0_O_0_53_365.graphml,-2.19268763
366,Mo2C_011_10_O_0_8_366.graphml,-2.19432626
367,Mo2C_001_0_O_0_13_367.graphml,-2.83958245
368,Mo2C_011_7_O_0_13_368.graphml,-3.96752247
369,Mo2C_111_4_O_0_34_369.graphml,-2.77489682
370,Mo2C_101_4_O_0_4_370.graphml,-4.30805025
371,Mo2C_011_10_O_0_2_371.graphml,-4.65950725
372,Mo2C_011_7_O_0_4_372.graphml,-3.15182574
373,Mo2C_111_8_O_0_22_373.graphml,-3.42035328
374,Mo2C_111_5_O_0_4_374.graphml,-4.27817095
375,Mo2C_011_0_O_0_42_375.graphml,-4.42678932
376,Mo2C_101_2_O_0_15_376.graphml,-2.22012352
377,Mo2C_111_5_O_0_45_377.graphml,-2.56869022
378,Mo2C_011_10_O_0_6_378.graphml,-3.83569393
379,Mo2C_111_0_O_0_25_379.graphml,-3.00029158
380,Mo2C_101_7_O_0_23_380.graphml,-4.68945571
381,Mo2C_111_2_O_0_55_381.graphml,-1.80037521
382,Mo2C_101_4_O_0_13_382.graphml,-2.1150289
383,Mo2C_001_4_O_0_1_383.graphml,-4.70232176
384,Mo2C_101_1_O_0_37_384.graphml,-1.73107602
385,Mo2C_011_9_O_0_42_385.graphml,-2.64630733
386,Mo2C_101_0_O_0_9_386.graphml,-3.16092327
387,Mo2C_111_5_O_0_16_387.graphml,-1.82920734
388,Mo2C_011_3_O_0_27_388.graphml,-3.35169339
391,Mo2C_101_3_O_0_28_391.graphml,-3.29302258
392,Mo2C_110_2_O_0_15_392.graphml,-3.24356985
393,Mo2C_111_4_O_0_23_393.graphml,-2.30623554
394,Mo2C_011_1_O_0_33_394.graphml,-4.94001565
395,Mo2C_011_11_O_0_42_395.graphml,-3.18052543
396,Mo2C_101_5_O_0_14_396.graphml,-2.19082514
397,Mo2C_100_4_O_0_7_397.graphml,-2.96902583
398,Mo2C_110_2_O_0_9_398.graphml,-4.11427694
399,Mo2C_111_1_O_0_27_399.graphml,-3.17495055
400,Mo2C_111_3_O_0_32_400.graphml,-3.06856225
401,Mo2C_100_1_O_0_16_401.graphml,-5.03643891
402,Mo2C_011_7_O_0_23_402.graphml,-4.93896974
403,Mo2C_101_7_O_0_4_403.graphml,-3.71393031
404,Mo2C_111_8_O_0_11_404.graphml,-3.78855568
405,Mo2C_111_0_O_0_12_405.graphml,-3.22094054
406,Mo2C_101_9_O_0_39_406.graphml,-2.60518992
407,Mo2C_111_1_O_0_32_407.graphml,-4.15466754
408,Mo2C_101_0_O_0_32_408.graphml,-3.15507788
409,Mo2C_010_0_O_0_15_409.graphml,-3.1281709
410,Mo2C_111_4_O_0_4_410.graphml,-2.77277915
411,Mo2C_111_0_O_0_27_411.graphml,-3.06325526
412,Mo2C_100_2_O_0_6_412.graphml,-5.03135461
413,Mo2C_101_5_O_0_43_413.graphml,-3.02654473
414,Mo2C_111_1_O_0_12_414.graphml,-3.25862005
415,Mo2C_111_5_O_0_30_415.graphml,-2.733618
416,Mo2C_111_0_O_0_52_416.graphml,-2.98518268
417,Mo2C_100_4_O_0_10_417.graphml,-2.97035062
418,Mo2C_101_1_O_0_21_418.graphml,-3.1207152
419,Mo2C_101_6_O_0_52_419.graphml,-3.1220314
421,Mo2C_101_5_O_0_11_421.graphml,-4.69304618
422,Mo2C_011_6_O_0_34_422.graphml,-2.25765318
423,Mo2C_011_3_O_0_12_423.graphml,-2.9586723
424,Mo2C_111_0_O_0_30_424.graphml,-4.63727272
425,Mo2C_101_8_O_0_10_425.graphml,-2.63239898
426,Mo2C_110_5_O_0_20_426.graphml,-4.60560064
427,Mo2C_100_3_O_0_5_427.graphml,-3.54465282
428,Mo2C_011_5_O_0_3_428.graphml,-2.58383386
429,Mo2C_011_10_O_0_3_429.graphml,-4.58782814
430,Mo2C_101_8_O_0_23_430.graphml,-2.5518779
431,Mo2C_111_1_O_0_7_431.graphml,-3.25830476
432,Mo2C_111_9_O_0_37_432.graphml,-3.35468798
433,Mo2C_001_4_O_0_9_433.graphml,-3.37452239
434,Mo2C_111_0_O_0_24_434.graphml,-3.22064901
435,Mo2C_011_2_O_0_18_435.graphml,-4.3866938
436,Mo2C_111_9_O_0_44_436.graphml,-3.63159918
437,Mo2C_110_4_O_0_21_437.graphml,-1.88989551
438,Mo2C_101_6_O_0_40_438.graphml,-2.74573169
439,Mo2C_101_0_O_0_29_439.graphml,-3.03913605
440,Mo2C_111_7_O_0_39_440.graphml,-2.1791069
441,Mo2C_011_1_O_0_37_441.graphml,-4.72643246
442,Mo2C_111_8_O_0_26_442.graphml,-4.73053663
443,Mo2C_111_2_O_0_35_443.graphml,-2.33059066
444,Mo2C_101_3_O_0_19_444.graphml,-2.68631198
445,Mo2C_100_0_O_0_4_445.graphml,-4.82228985
446,Mo2C_111_1_O_0_42_446.graphml,-2.69774406
447,Mo2C_111_7_O_0_26_447.graphml,-4.40993963
448,Mo2C_111_4_O_0_42_448.graphml,-2.90616834
449,Mo2C_010_0_O_0_13_449.graphml,-2.37395548
450,Mo2C_110_3_O_0_23_450.graphml,-2.03511296
451,Mo2C_011_0_O_0_4_451.graphml,-4.69787269
453,Mo2C_100_1_O_0_24_453.graphml,-5.03921251
454,Mo2C_011_10_O_0_34_454.graphml,-4.36148732
455,Mo2C_101_6_O_0_34_455.graphml,-1.90337139
456,Mo2C_011_10_O_0_19_456.graphml,-2.74470331
457,Mo2C_011_8_O_0_9_457.graphml,-2.36423188
458,Mo2C_111_8_O_0_5_458.graphml,-4.98436441
459,Mo2C_100_2_O_0_5_459.graphml,-5.03139626
460,Mo2C_101_2_O_0_28_460.graphml,-2.85171236
461,Mo2C_100_2_O_0_4_461.graphml,-4.54619951
462,Mo2C_011_9_O_0_29_462.graphml,-2.7220108
463,Mo2C_111_8_O_0_31_463.graphml,-4.10965908
464,Mo2C_101_2_O_0_33_464.graphml,-3.78776571
465,Mo2C_111_7_O_0_17_465.graphml,-2.54354276
